T,eta,eta_err,xi,xi_err
1.00000000e-05,-2.39252016e-08,4.27690079e-08,1.63589768e+09,1.03613969e+10
5.00000000e-03,-8.10749525e-05,2.66077474e-05,-1.61371949e+05,6.47572032e+04
1.00000000e-02,-1.15835119e-04,4.88577510e-05,-3.31595363e+05,5.18764206e+05
2.50000000e-02,9.08408845e-05,1.08229338e-04,1.10652807e+05,1.19210678e+05
5.00000000e-02,9.41009576e-04,2.30348143e-04,1.01417328e+04,1.94921957e+03
1.00000000e-01,-2.95553782e-03,6.42385252e-04,-3.57639203e+03,7.17759541e+02
1.50000000e-01,-6.14624675e-04,1.49563255e-03,-5.63813583e+03,4.18972437e+03
2.00000000e-01,3.46458924e-03,2.22384337e-03,4.86086967e+03,4.82940895e+03
4.00000000e-01,8.85845249e-03,8.52419759e-03,1.84650856e+03,2.64206991e+03
6.00000000e-01,-2.86015207e-02,1.53797084e-02,-4.35587606e+02,2.65767671e+02
8.00000000e-01,-2.36217197e-02,3.46701208e-02,-3.21180635e+02,3.20001484e+02
1.00000000e+00,-6.47651267e-02,4.20287268e-02,-2.47616280e+02,2.36404253e+02
