T,chi,chi_err
1.00000000e-05,1.55048049e-03,6.93742912e-05
5.00000000e-03,7.36144773e-01,3.29378681e-02
1.00000000e-02,1.34727759e+00,6.02822341e-02
2.50000000e-02,2.76945127e+00,1.23915599e-01
5.00000000e-02,3.60628713e+00,1.61358763e-01
1.00000000e-01,3.17880166e+00,1.42231466e-01
1.50000000e-01,2.74008377e+00,1.22601588e-01
2.00000000e-01,2.17421560e+00,9.72825309e-02
4.00000000e-01,1.20633709e+00,5.39760296e-02
6.00000000e-01,7.61628813e-01,3.40781193e-02
8.00000000e-01,6.23876962e-01,2.79145867e-02
1.00000000e+00,4.85843620e-01,2.17384592e-02
