r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,9.519351191033069703e-01
1.500000000000000000e+00,9.239568847420667197e-01
2.500000000000000000e+00,9.123177689265987711e-01
3.500000000000000000e+00,9.051972303276486498e-01
4.500000000000000000e+00,8.993300560279249289e-01
5.500000000000000000e+00,8.949364440388922759e-01
6.500000000000000000e+00,8.909021076865716315e-01
7.500000000000000000e+00,8.874195037978761524e-01
8.500000000000000000e+00,8.841141039236318777e-01
9.500000000000000000e+00,8.815272139738105084e-01
1.050000000000000000e+01,8.803306404161630461e-01
1.150000000000000000e+01,8.785404111219868861e-01
1.250000000000000000e+01,8.768644724860634732e-01
1.350000000000000000e+01,8.754189738775096652e-01
1.450000000000000000e+01,8.741535373119195818e-01
1.550000000000000000e+01,8.725432178067507039e-01
1.650000000000000000e+01,8.730001936991699241e-01
1.750000000000000000e+01,8.717200903229112008e-01
1.850000000000000000e+01,8.712294708083817563e-01
1.950000000000000000e+01,8.706161061055716077e-01
2.050000000000000000e+01,8.706778262540311175e-01
2.150000000000000000e+01,8.705924991515218148e-01
2.250000000000000000e+01,8.720315485263078203e-01
2.350000000000000000e+01,8.729377580358138600e-01
2.450000000000000000e+01,8.731187401815955207e-01
2.550000000000000000e+01,8.741496026557243892e-01
2.650000000000000000e+01,8.738234382461407268e-01
2.750000000000000000e+01,8.744180844612113868e-01
2.850000000000000000e+01,8.737148146283789663e-01
2.950000000000000000e+01,8.735522494987949527e-01
3.050000000000000000e+01,8.731298627514078037e-01
3.150000000000000000e+01,8.743577236037306522e-01
