step,energy_per_site
0.000000000000000000e+00,1.123329179946948031e+00
1.000000000000000000e+06,7.873972612664354997e-01
2.000000000000000000e+06,6.979496783338722254e-01
3.000000000000000000e+06,6.705019491775444651e-01
4.000000000000000000e+06,6.543244010987890880e-01
5.000000000000000000e+06,6.543774359649553451e-01
6.000000000000000000e+06,6.522515050727011321e-01
7.000000000000000000e+06,6.473681425164690140e-01
8.000000000000000000e+06,6.456436968677190524e-01
9.000000000000000000e+06,6.472407426281718834e-01
1.000000000000000000e+07,6.437178014290314554e-01
