r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.550045913682261300e-01,4.089796334288497981e-01,1.139688967313009713e-02
1.880624426078970401e+00,4.073955816487834780e-01,9.550397181438996172e-03
2.776859504132232814e+00,4.049062375733481489e-01,9.849740054303578185e-03
3.643709825528008039e+00,4.131075331441126930e-01,9.816949299324121206e-03
4.481175390266297853e+00,4.104338272534073240e-01,1.121674945862254774e-02
5.289256198347109361e+00,4.085255640481685879e-01,1.080823196419048414e-02
6.067952249770431905e+00,4.083295085606264418e-01,1.060470142227495569e-02
6.817263544536272590e+00,4.103776396995506559e-01,1.190644475567958355e-02
7.537190082644627864e+00,4.122637682538357606e-01,9.636231176048426147e-03
8.227731864095499503e+00,4.198061537329214055e-01,1.051062059860321390e-02
8.888888888888889284e+00,4.050003844977017042e-01,1.296871461735150943e-02
9.520661157024793653e+00,4.124245723838885214e-01,8.461107344284405501e-03
1.012304866850321261e+01,4.116759700868111715e-01,1.061308796371185185e-02
1.069605142332415149e+01,4.186692301701893104e-01,9.970624270203185327e-03
1.123966942148760495e+01,4.028629435480372556e-01,9.928592925588076643e-03
1.175390266299357123e+01,4.126728906772201833e-01,1.246919396637597571e-02
1.223875114784205564e+01,4.054685718835421282e-01,1.510337394824419650e-02
1.269421487603305820e+01,4.091032592059176132e-01,1.590892156701300547e-02
1.312029384756657535e+01,4.137451137223511766e-01,1.618417725172931546e-02
1.351698806244260709e+01,4.062278235032746876e-01,1.776075246463648671e-02
1.388429752066115697e+01,4.176039252613184538e-01,1.347488992425608170e-02
1.422222222222222321e+01,4.145507342277218177e-01,1.652489973103428086e-02
1.453076216712580404e+01,4.122585891834645300e-01,2.059013160095167841e-02
1.480991735537190124e+01,4.178767831032215163e-01,1.340123050843714490e-02
1.505968778696051480e+01,4.417028283677724154e-01,2.066545804348862703e-02
1.528007346189164295e+01,4.451001373904626690e-01,3.572797561660048804e-02
1.547107438016528924e+01,4.261930034702926529e-01,2.223975990904947242e-02
1.563269054178145012e+01,4.350663555292083595e-01,2.717666770976619531e-02
1.576492194674012914e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.586776859504132275e+01,4.272097471426255511e-01,3.963537462072264789e-02
1.594123048668503273e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.598530762167125729e+01,4.382354362992517127e-01,1.873351093873261777e-02
