step,energy_per_site
0.000000000000000000e+00,5.346048637467315512e-01
5.000000000000000000e+05,2.128824404937672832e-01
1.000000000000000000e+06,2.181033837506737572e-01
1.500000000000000000e+06,2.091999902764040409e-01
2.000000000000000000e+06,2.204717730108449181e-01
2.500000000000000000e+06,2.091277444196250335e-01
3.000000000000000000e+06,2.049463673320361390e-01
3.500000000000000000e+06,2.128196096635683876e-01
4.000000000000000000e+06,2.208161477729965183e-01
4.500000000000000000e+06,2.180584696185679516e-01
5.000000000000000000e+06,2.129733310295880977e-01
