index,energy_per_site
0.000000000000000000e+00,4.996029042941833032e-01
1.000000000000000000e+00,1.317324991704345305e-01
2.000000000000000000e+00,1.307074924125419535e-01
3.000000000000000000e+00,1.422501452471732208e-01
4.000000000000000000e+00,1.408682472823262199e-01
5.000000000000000000e+00,1.290601082953706236e-01
6.000000000000000000e+00,1.354588092506310293e-01
7.000000000000000000e+00,1.329165643268253871e-01
8.000000000000000000e+00,1.322422069063263483e-01
9.000000000000000000e+00,1.401222130687554135e-01
