T,chi,chi_err
1.00000000e-05,1.10533057e-04,4.94566205e-06
1.00000000e-02,6.14913293e-03,2.75135187e-04
5.00000000e-02,2.94692433e-01,1.31856407e-02
1.00000000e-01,2.08565466e+01,9.33199838e-01
1.50000000e-01,6.38524821e+01,2.85699867e+00
1.60000000e-01,9.03977209e+01,4.04473185e+00
1.70000000e-01,7.12137402e+01,3.18636886e+00
1.80000000e-01,2.08678691e+02,9.33706449e+00
1.85000000e-01,5.17836562e+01,2.31699430e+00
1.90000000e-01,2.02219810e+02,9.04807001e+00
1.95000000e-01,4.40866854e+02,1.97260306e+01
2.00000000e-01,2.86177206e+02,1.28046377e+01
2.05000000e-01,2.34026665e+02,1.04712276e+01
2.10000000e-01,1.00399281e+02,4.49223904e+00
2.15000000e-01,8.67443146e+01,3.88126480e+00
2.20000000e-01,5.85713262e+01,2.62070001e+00
2.50000000e-01,1.52934601e+01,6.84286556e-01
3.00000000e-01,4.53116354e+00,2.02741190e-01
