T,eta,eta_err,xi,xi_err
1.00000000e-05,9.20502944e-01,1.66240977e-01,3.18085526e+01,9.43264467e+00
1.00000000e-02,1.33144389e-04,7.92625994e-06,1.43254261e+05,9.06474313e+03
5.00000000e-02,2.83950539e-03,2.93434145e-05,3.74324128e+03,3.97048953e+02
1.00000000e-01,2.81237525e-02,9.75288608e-04,7.35169433e+02,1.57007186e+01
1.50000000e-01,8.72349762e-02,1.91531890e-03,2.47110302e+02,7.59230218e+00
1.60000000e-01,1.54157209e-01,5.24058209e-03,1.33770799e+02,2.45908394e+00
1.70000000e-01,1.20822731e-01,8.01631232e-04,1.89379558e+02,9.06117725e+00
1.80000000e-01,1.98244209e-01,5.31971721e-03,1.06885501e+02,2.80115083e+00
1.85000000e-01,1.89949882e-01,1.78778741e-03,1.24542926e+02,7.31195670e+00
1.90000000e-01,3.56565272e-01,1.45645080e-02,5.67432209e+01,9.49011830e-01
1.95000000e-01,5.03346337e-01,2.12418090e-02,3.99140772e+01,5.42897635e-01
2.00000000e-01,5.04127225e-01,9.34940473e-03,4.40146101e+01,1.79570790e+00
2.05000000e-01,1.28215772e+00,9.87942950e-02,1.37118745e+01,4.66523434e-01
2.10000000e-01,1.65018058e+00,1.36495963e-01,7.25913556e+00,1.88665963e-01
2.15000000e-01,2.37967015e+00,2.36319312e-01,6.49324053e+00,4.25703344e-01
2.20000000e-01,2.24418973e+00,1.81973893e-01,9.51018921e+00,9.33613531e-01
2.50000000e-01,1.96483345e+00,1.73535883e-01,1.28038758e+01,2.58801696e+00
3.00000000e-01,1.16386876e+00,2.10258476e-01,4.58803155e+00,9.67969590e-01
