r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.941709942618359719e-01,9.940758960269665545e-01,4.528350912170987856e-05
1.984466078214651930e+00,9.924939212317305248e-01,5.814025862877018327e-05
2.970885251858462084e+00,9.915784097656333840e-01,6.773821471549174565e-05
3.953428515193252224e+00,9.909298968195701107e-01,8.231263140382595958e-05
4.932095868219064982e+00,9.903862176059707867e-01,9.855474136064605519e-05
5.906887310935829305e+00,9.899301766949748504e-01,1.116319337989839678e-04
6.877802843343587824e+00,9.894799772983443598e-01,1.250535214510071266e-04
7.844842465442326329e+00,9.890989577102710095e-01,1.368963615158689834e-04
8.808006177232044820e+00,9.887780569959901955e-01,1.486387218924089236e-04
9.767293978712771718e+00,9.884831286586268639e-01,1.628212662063104456e-04
1.072270586988446439e+01,9.882199461582344968e-01,1.727096911954521948e-04
1.167424185074717968e+01,9.879668247813274684e-01,1.821282840670507134e-04
1.262190192130086075e+01,9.877263544534262696e-01,1.906245224591235951e-04
1.356568608154552180e+01,9.875063460751855038e-01,1.971412059748433980e-04
1.450559433148117705e+01,9.873039825091580735e-01,2.010904537446142973e-04
1.544162667110781229e+01,9.870906063931798036e-01,2.120956165411316330e-04
1.637378310042544172e+01,9.868969547688567490e-01,2.236907131571881375e-04
1.730206361943405113e+01,9.866883212653188018e-01,2.356536140088748602e-04
1.822646822813365475e+01,9.864799822134857621e-01,2.488301980505840854e-04
1.914699692652423835e+01,9.862792840107488246e-01,2.587327265040164671e-04
2.006364971460583035e+01,9.860800854166830165e-01,2.684456191392098671e-04
2.097642659237838814e+01,9.858793500187426062e-01,2.770370842029272885e-04
2.188532755984194011e+01,9.856874274596599816e-01,2.845587320620695149e-04
2.279035261699647208e+01,9.855055146447975201e-01,2.957631992415944624e-04
2.369150176384199824e+01,9.853344993043575695e-01,3.086478675382301655e-04
2.458877500037850439e+01,9.851818003366127341e-01,3.182619579989958000e-04
2.548217232660599052e+01,9.850257069506116459e-01,3.279700062051404247e-04
2.637169374252449927e+01,9.848532510828419406e-01,3.394711866486630402e-04
2.725733924813397380e+01,9.846925540876287908e-01,3.501480229685244305e-04
2.813910884343442831e+01,9.845489253710177913e-01,3.620484035557291038e-04
