index,energy_per_site
0.000000000000000000e+00,-2.067673773534236814e-01
1.000000000000000000e+00,-2.332896245952326808e+00
2.000000000000000000e+00,-2.328193280938507748e+00
3.000000000000000000e+00,-2.339051370340883285e+00
4.000000000000000000e+00,-2.339945837053906352e+00
5.000000000000000000e+00,-2.341039789611299771e+00
6.000000000000000000e+00,-2.340550884276918264e+00
7.000000000000000000e+00,-2.332575997410584634e+00
8.000000000000000000e+00,-2.329199830573241314e+00
9.000000000000000000e+00,-2.340839669754634311e+00
