step,energy_per_site
0.000000000000000000e+00,5.390276210925377259e-02
5.000000000000000000e+04,2.393722321932453823e-02
1.000000000000000000e+05,2.606506522814336022e-02
1.500000000000000000e+05,2.546816257775565834e-02
2.000000000000000000e+05,2.525143881277983407e-02
2.500000000000000000e+05,2.288078702438611084e-02
3.000000000000000000e+05,2.638845802824109354e-02
3.500000000000000000e+05,2.588742167850850359e-02
4.000000000000000000e+05,2.400743891504410893e-02
4.500000000000000000e+05,2.440178596725599280e-02
5.000000000000000000e+05,2.625236528023643448e-02
