T,chi,chi_err
1.00000000e-05,9.34393362e-06,4.18082508e-07
5.00000000e-02,3.54241756e-02,1.58501000e-03
1.00000000e-01,1.14377015e-01,5.11765506e-03
2.00000000e-01,1.98003428e-01,8.85941331e-03
3.00000000e-01,4.73788171e-01,2.11990533e-02
4.00000000e-01,3.02623595e-01,1.35405105e-02
5.00000000e-01,6.59484832e-01,2.95078159e-02
6.00000000e-01,5.34895413e-01,2.39332197e-02
7.00000000e-01,1.00972745e+00,4.51789797e-02
8.00000000e-01,4.89107877e-01,2.18845142e-02
9.00000000e-01,9.10025798e-01,4.07179550e-02
1.00000000e+00,9.32947039e-01,4.17435370e-02
1.10000000e+00,1.42991274e+00,6.39796397e-02
1.20000000e+00,1.39165761e+00,6.22679623e-02
1.30000000e+00,2.01289916e+00,9.00646308e-02
1.40000000e+00,2.07418302e+00,9.28066997e-02
1.50000000e+00,2.87762628e+00,1.28755753e-01
1.60000000e+00,3.42321402e+00,1.53167388e-01
1.70000000e+00,2.73322815e+00,1.22294842e-01
2.00000000e+00,1.48847148e+00,6.65997763e-02
