T,eta,eta_err,xi,xi_err
1.00000000e-05,1.35816105e-06,4.09891606e-08,2.50245422e+06,2.04715596e+05
5.00000000e-02,5.80517410e-03,1.82980299e-04,5.86627683e+02,5.03690877e+01
1.00000000e-01,1.18648488e-02,6.13760847e-04,2.83631980e+02,2.11491383e+01
2.00000000e-01,2.36961219e-02,9.92488350e-04,1.42250280e+02,1.01637975e+01
3.00000000e-01,4.85051664e-02,4.28463408e-03,6.73071480e+01,2.81406774e+00
4.00000000e-01,4.93330454e-02,8.80890953e-04,6.96952649e+01,6.81526297e+00
5.00000000e-01,7.36737570e-02,3.87978832e-03,4.53639893e+01,2.73166186e+00
6.00000000e-01,8.06424965e-02,3.32965592e-03,4.20208878e+01,3.42119262e+00
7.00000000e-01,1.30644796e-01,7.76615125e-03,2.54389775e+01,1.33421735e+00
8.00000000e-01,1.17437869e-01,5.91835699e-03,2.84890007e+01,1.73342277e+00
9.00000000e-01,1.35439532e-01,1.16077120e-02,2.41916621e+01,1.17261322e+00
1.00000000e+00,1.31073606e-01,2.92224414e-03,2.62010725e+01,2.53976429e+00
1.10000000e+00,2.14956764e-01,8.57918503e-03,1.56985880e+01,1.13941543e+00
1.20000000e+00,1.79045628e-01,1.00197370e-02,1.86801324e+01,1.21102899e+00
1.30000000e+00,3.05453085e-01,1.68695321e-02,1.09173677e+01,6.22963548e-01
1.40000000e+00,3.51453678e-01,2.11060216e-02,9.48966754e+00,5.88924304e-01
1.50000000e+00,3.28391327e-01,1.57445673e-02,1.02777581e+01,7.99119291e-01
1.60000000e+00,6.41759999e-01,4.08329150e-02,5.16094246e+00,2.45532316e-01
1.70000000e+00,6.25528182e-01,5.22690810e-02,5.25596820e+00,2.87641469e-01
2.00000000e+00,1.48890522e+00,1.25318631e-01,2.19345315e+00,7.45557389e-02
