index,energy_per_site
0.000000000000000000e+00,-1.419574709746243224e+00
1.000000000000000000e+00,-1.498866980177783192e+00
2.000000000000000000e+00,-1.540969769173578197e+00
3.000000000000000000e+00,-1.461077468107697674e+00
4.000000000000000000e+00,-1.444971804804108251e+00
5.000000000000000000e+00,-1.392822589775154496e+00
6.000000000000000000e+00,-1.531385483230576883e+00
7.000000000000000000e+00,-1.473328357093570462e+00
8.000000000000000000e+00,-1.404361074752442429e+00
9.000000000000000000e+00,-1.529449766678808720e+00
