step,energy_per_site
0.000000000000000000e+00,1.126055628032979206e+00
5.000000000000000000e+05,4.553643643792573692e-01
1.000000000000000000e+06,3.968081593119419659e-01
1.500000000000000000e+06,3.766083381135552632e-01
2.000000000000000000e+06,3.620739156852006424e-01
2.500000000000000000e+06,3.619277995868426245e-01
3.000000000000000000e+06,3.586948679495578496e-01
3.500000000000000000e+06,3.604206717728377640e-01
4.000000000000000000e+06,3.637819650281589601e-01
4.500000000000000000e+06,3.604728012087738964e-01
5.000000000000000000e+06,3.606878433379774318e-01
