r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,9.476933774428885071e-01
1.500000000000000000e+00,9.168577950310461411e-01
2.500000000000000000e+00,9.031253767663319776e-01
3.500000000000000000e+00,8.935273064710180790e-01
4.500000000000000000e+00,8.862357985059913235e-01
5.500000000000000000e+00,8.808014653908524672e-01
6.500000000000000000e+00,8.765605851330344755e-01
7.500000000000000000e+00,8.726380539300659933e-01
8.500000000000000000e+00,8.694297184344282892e-01
9.500000000000000000e+00,8.663856070471254167e-01
1.050000000000000000e+01,8.638515365678134383e-01
1.150000000000000000e+01,8.618127878600897462e-01
1.250000000000000000e+01,8.597683371218518555e-01
1.350000000000000000e+01,8.580111656157078937e-01
1.450000000000000000e+01,8.562925267983433342e-01
1.550000000000000000e+01,8.553632657814831397e-01
1.650000000000000000e+01,8.534263100828671789e-01
1.750000000000000000e+01,8.529710431268597848e-01
1.850000000000000000e+01,8.514868026623196862e-01
1.950000000000000000e+01,8.501582667354671274e-01
2.050000000000000000e+01,8.488790609148217925e-01
2.150000000000000000e+01,8.478937752782310655e-01
2.250000000000000000e+01,8.468335232992195705e-01
2.350000000000000000e+01,8.460946745319962714e-01
2.450000000000000000e+01,8.453239580627971428e-01
2.550000000000000000e+01,8.441851662846587834e-01
2.650000000000000000e+01,8.433959744329452279e-01
2.750000000000000000e+01,8.427906101613192869e-01
2.850000000000000000e+01,8.420048679915740353e-01
2.950000000000000000e+01,8.412804761895558148e-01
3.050000000000000000e+01,8.411580968440506290e-01
3.150000000000000000e+01,8.408587746746675196e-01
3.250000000000000000e+01,8.409325911310656654e-01
3.350000000000000000e+01,8.408832144149473997e-01
3.450000000000000000e+01,8.413601823816581060e-01
3.550000000000000000e+01,8.413109555328063260e-01
3.650000000000000000e+01,8.415931774438815127e-01
3.750000000000000000e+01,8.420006130432987623e-01
3.850000000000000000e+01,8.420669114772105779e-01
3.950000000000000000e+01,8.422244147619526444e-01
4.050000000000000000e+01,8.423651308858144393e-01
4.150000000000000000e+01,8.420520543471102792e-01
4.250000000000000000e+01,8.423715960055894181e-01
4.350000000000000000e+01,8.421633985533553135e-01
4.450000000000000000e+01,8.421485738950212907e-01
4.550000000000000000e+01,8.417291495536415313e-01
4.650000000000000000e+01,8.418276532232755738e-01
4.750000000000000000e+01,8.414370661811827468e-01
4.850000000000000000e+01,8.419680209965215711e-01
4.950000000000000000e+01,8.416552722626147176e-01
5.050000000000000000e+01,8.417722731468132435e-01
5.150000000000000000e+01,8.419187018381625309e-01
5.250000000000000000e+01,8.422818420395152827e-01
5.350000000000000000e+01,8.422044769636674033e-01
5.450000000000000000e+01,8.425377530872982801e-01
5.550000000000000000e+01,8.424389459097493260e-01
5.650000000000000000e+01,8.416808060755360810e-01
5.750000000000000000e+01,8.420795676096383131e-01
5.850000000000000000e+01,8.422668884300944514e-01
5.950000000000000000e+01,8.423301942217861216e-01
6.050000000000000000e+01,8.423475766474960436e-01
6.150000000000000000e+01,8.425506008422213311e-01
6.250000000000000000e+01,8.425061541435273638e-01
6.350000000000000000e+01,8.418626026618134528e-01
