r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.550045913682261300e-01,4.587078223386444886e-01,1.974979990145850350e-02
1.880624426078970401e+00,3.203099569901104449e-01,2.450773222281278294e-02
2.776859504132232814e+00,2.408141846875742897e-01,2.696310403938497260e-02
3.643709825528008039e+00,1.897722059414207740e-01,3.080706478333181120e-02
4.481175390266297853e+00,1.583226543796169006e-01,3.259666735877686516e-02
5.289256198347109361e+00,1.284297117116640630e-01,3.547294180356381360e-02
6.067952249770431905e+00,1.023831336355209010e-01,3.770699117471124767e-02
6.817263544536272590e+00,7.911201197642764305e-02,3.769621094364364322e-02
7.537190082644627864e+00,6.345595661691494360e-02,3.720283001473173590e-02
8.227731864095499503e+00,4.196177275970592452e-02,3.251120868730901503e-02
8.888888888888889284e+00,5.148133005160088205e-02,3.514057109153432418e-02
9.520661157024793653e+00,3.616549516178714507e-02,2.977191042933505921e-02
1.012304866850321261e+01,2.710201516529884419e-02,2.778739141427745071e-02
1.069605142332415149e+01,1.178025209605580367e-02,3.597292065950614959e-02
1.123966942148760495e+01,4.638534232703475993e-03,3.089153863877543149e-02
1.175390266299357123e+01,-1.010315451085808634e-02,3.166817063814658662e-02
1.223875114784205564e+01,-9.868352613462645639e-03,3.258285301545777585e-02
1.269421487603305820e+01,-2.157509295383177456e-02,3.651745712263800014e-02
1.312029384756657535e+01,-2.210363231440471213e-02,3.966346324565898918e-02
1.351698806244260709e+01,-3.302098268931017572e-02,4.468103275072156377e-02
1.388429752066115697e+01,-2.967146139863726176e-02,4.798224168052923899e-02
1.422222222222222321e+01,-3.677734371848287442e-02,4.773275606827340894e-02
1.453076216712580404e+01,-5.570453217471622864e-02,6.045917979410718457e-02
1.480991735537190124e+01,-6.197928221628939971e-02,4.608749376914446361e-02
1.505968778696051480e+01,-2.585225237255283845e-02,5.707358206146777996e-02
1.528007346189164295e+01,-4.087806536246748473e-02,5.594921257455846841e-02
1.547107438016528924e+01,-8.049802807897907253e-02,6.240082486421185543e-02
1.563269054178145012e+01,-6.797562390603173466e-02,5.102589107692213910e-02
1.576492194674012914e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.586776859504132275e+01,-7.981432117220133016e-02,5.449093669308783389e-02
1.594123048668503273e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.598530762167125729e+01,-5.527508372806785863e-02,7.049363381298417996e-02
