index,energy_per_site
0.000000000000000000e+00,5.227380852726259963e-01
1.000000000000000000e+00,3.070810560801106037e-01
2.000000000000000000e+00,3.100712391566711190e-01
3.000000000000000000e+00,3.071608333763187204e-01
4.000000000000000000e+00,3.054213678635442353e-01
5.000000000000000000e+00,3.087159168385495422e-01
6.000000000000000000e+00,3.015033125181015849e-01
7.000000000000000000e+00,3.074985509774110781e-01
8.000000000000000000e+00,3.003801140405530368e-01
9.000000000000000000e+00,3.000649485992961663e-01
