r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,8.370615363016001842e-01,4.389595076882247572e-03
1.938934911242604642e+00,7.980819020373700612e-01,5.633389162993509246e-03
2.885680473372783439e+00,7.737575031893368926e-01,6.828914186077357680e-03
3.817278106508876334e+00,7.562364938435772732e-01,7.883529859952914665e-03
4.733727810650883328e+00,7.412334850121814478e-01,9.340796354330604956e-03
5.635029585798818630e+00,7.312393416702253068e-01,1.104610985959997294e-02
6.521183431952664478e+00,7.211782179676929916e-01,1.221921273936252272e-02
7.392189349112427976e+00,7.105897388529386349e-01,1.355316791790397643e-02
8.248047337278105573e+00,7.008410039049383089e-01,1.481548220773382801e-02
9.088757396449704373e+00,6.924676132882781054e-01,1.619294592387244408e-02
9.914319526627220824e+00,6.838951491731052323e-01,1.724897319665871440e-02
1.072473372781065137e+01,6.779325125480692993e-01,1.815868270285089792e-02
1.151999999999999602e+01,6.712598278844571498e-01,1.923218306691906396e-02
1.230011834319526542e+01,6.647250621761352507e-01,2.019108719152858805e-02
1.306508875739645248e+01,6.607202628191095606e-01,2.056106515838793808e-02
1.381491124260355008e+01,6.538300251532497276e-01,2.040748121787025818e-02
1.454958579881656533e+01,6.475640324656353197e-01,2.026344080529758965e-02
1.526911242603550534e+01,6.421197388583630428e-01,2.048120266018343266e-02
1.597349112426035944e+01,6.369895034171338954e-01,2.095824934064322367e-02
1.666272189349112409e+01,6.330537085867767866e-01,2.166275430161250862e-02
1.733680473372780995e+01,6.307584836977978560e-01,2.160807818069363298e-02
1.799573964497041345e+01,6.256011733809117015e-01,2.183534513527763191e-02
1.863952662721893816e+01,6.211121816614980640e-01,2.222703498808462769e-02
1.926816568047337341e+01,6.167062425901034262e-01,2.255881244478046693e-02
1.988165680473372632e+01,6.143189332551430848e-01,2.197935236462587871e-02
2.048000000000000043e+01,6.090299454602472462e-01,2.266795759544551828e-02
2.106319526627219219e+01,6.024879684038978445e-01,2.317629101961454080e-02
2.163124260355029804e+01,6.020344502351728799e-01,2.364162964271799422e-02
2.218414201183431800e+01,5.967339547511503195e-01,2.439580352139555930e-02
2.272189349112426271e+01,5.881978088616381939e-01,2.454037495520592152e-02
2.324449704142012152e+01,5.878096402929184894e-01,2.547898430526081628e-02
2.375195266272189443e+01,5.785118017598140927e-01,2.593474844519352146e-02
2.424426035502958499e+01,5.799110100017522695e-01,2.616712717363419219e-02
2.472142011834319675e+01,5.738516243113487292e-01,2.616251719615814500e-02
2.518343195266272261e+01,5.706203531847111599e-01,2.711101732051751645e-02
2.563029585798816612e+01,5.646628412210393799e-01,2.687012787344482748e-02
2.606201183431952728e+01,5.651022166254654477e-01,2.813693308471024515e-02
2.647857988165680609e+01,5.553568062305891395e-01,2.789730686485444519e-02
2.688000000000000256e+01,5.554015286525436634e-01,2.835921791722053470e-02
2.726627218934911312e+01,5.409877717916899975e-01,3.017399657634249263e-02
2.763739644970414133e+01,5.635756638166031784e-01,2.877447392583695751e-02
2.799337278106509075e+01,5.389023272778235008e-01,3.052464121635786731e-02
2.833420118343195426e+01,5.411384361761462092e-01,2.965551105132905804e-02
2.865988165680473543e+01,5.476213699852520156e-01,3.152862395486923791e-02
2.897041420118343069e+01,5.170041732703518633e-01,3.267693002732182522e-02
2.926579881656804716e+01,5.350650841557768045e-01,2.917492611588164489e-02
2.954603550295858128e+01,5.308061320565117258e-01,3.337068378452425627e-02
2.981112426035502949e+01,5.092656433048046161e-01,3.426677106962593838e-02
3.006106508875739536e+01,5.046300926083663319e-01,3.635898053721885181e-02
3.029585798816568243e+01,5.199966524135763990e-01,3.106385935471742132e-02
3.051550295857988360e+01,5.039022993890289737e-01,3.503194105842469264e-02
3.071999999999999886e+01,4.922771456146873836e-01,3.757632553130105940e-02
3.090934911242603533e+01,4.660186960850654647e-01,3.369041718103343852e-02
3.108355029585798945e+01,5.061710021749581401e-01,3.226687647680857862e-02
3.124260355029585767e+01,5.232034083707224337e-01,3.848123893222005210e-02
3.138650887573964710e+01,4.683016311951501698e-01,3.610054322904633628e-02
3.151526627218935062e+01,4.768603593524817219e-01,3.766777730043065209e-02
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,4.565819502556787146e-01,4.114357674655025332e-02
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,4.735677955240307213e-01,4.446327311234878760e-02
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,4.462182224119942142e-01,4.476864620725601318e-02
