r,G,G_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,6.169381961067027520e-01,1.933149431399765845e-03
1.938934911242604642e+00,5.014584578932116399e-01,3.034263081878554869e-03
2.885680473372783439e+00,4.363740128424244968e-01,2.871481148504952639e-03
3.817278106508876334e+00,4.022898353905141611e-01,3.874617970100721447e-03
4.733727810650883328e+00,3.887400057916066687e-01,4.954250950519119463e-03
5.635029585798818630e+00,3.814381616361423588e-01,6.222493567976197272e-03
6.521183431952664478e+00,3.711048933899213642e-01,6.723062406901911606e-03
7.392189349112427976e+00,3.582976782600457155e-01,6.222823305234378294e-03
8.248047337278105573e+00,3.420988348357706377e-01,5.018343576850529779e-03
9.088757396449704373e+00,3.273159160661174294e-01,4.622618835041993231e-03
9.914319526627220824e+00,3.068946718828842735e-01,4.732986549613270484e-03
1.072473372781065137e+01,2.931749327625143287e-01,4.798396375404647383e-03
1.151999999999999602e+01,2.777269247854397549e-01,5.616304653166383741e-03
1.230011834319526542e+01,2.610237196027357931e-01,5.440307774901117360e-03
1.306508875739645248e+01,2.486270794228857828e-01,6.120791559586689044e-03
1.381491124260355008e+01,2.316076168834265703e-01,5.192667584227316467e-03
1.454958579881656533e+01,2.172496324726659600e-01,4.974814831348235190e-03
1.526911242603550534e+01,2.097360193735817724e-01,5.075287077485265107e-03
1.597349112426035944e+01,2.004066658455002370e-01,5.176106643231220654e-03
1.666272189349112409e+01,1.931056842439765608e-01,5.178593376329871344e-03
1.733680473372780995e+01,1.972120907837180970e-01,4.287734606167537682e-03
1.799573964497041345e+01,1.936502452540810326e-01,4.113159881561039358e-03
1.863952662721893816e+01,1.896948071174408557e-01,3.690412710906700814e-03
1.926816568047337341e+01,1.754283039163650471e-01,4.910217706272426534e-03
1.988165680473372632e+01,1.814333075629455394e-01,4.466574356239407829e-03
2.048000000000000043e+01,1.724177706121275966e-01,4.505815230064502859e-03
2.106319526627219219e+01,1.518554975726481016e-01,5.903547184380884133e-03
2.163124260355029804e+01,1.561823603667832627e-01,4.299844041706704645e-03
2.218414201183431800e+01,1.402252485993761288e-01,4.198304844380162069e-03
2.272189349112426271e+01,1.269722679076658312e-01,4.101184212175124598e-03
2.324449704142012152e+01,1.213970697889321798e-01,3.384635994184679447e-03
2.375195266272189443e+01,1.084472750820778680e-01,4.309686601322385187e-03
2.424426035502958499e+01,1.103507741760629407e-01,3.385719852458145881e-03
2.472142011834319675e+01,1.017980129996205879e-01,3.318821939860794670e-03
2.518343195266272261e+01,9.966763280135207403e-02,5.147514936249035500e-03
2.563029585798816612e+01,9.370284093497728561e-02,4.752172457573029633e-03
2.606201183431952728e+01,1.243115230773642749e-01,6.643638370649415127e-03
2.647857988165680609e+01,8.054562306096491042e-02,6.195137505047603431e-03
2.688000000000000256e+01,1.165825621888205293e-01,5.831707475250856240e-03
2.726627218934911312e+01,8.124195467212552701e-02,6.703287840563843837e-03
2.763739644970414133e+01,1.715697270977958322e-01,4.312215161089907357e-03
2.799337278106509075e+01,9.383563390354482392e-02,5.527814885719936448e-03
2.833420118343195426e+01,1.297008001183645176e-01,5.626049521117856486e-03
2.865988165680473543e+01,1.514826265946657979e-01,3.911131905968475569e-03
2.897041420118343069e+01,6.727603167653474492e-02,7.157994331082223258e-03
2.926579881656804716e+01,1.559438404307936510e-01,6.095502831925307327e-03
2.954603550295858128e+01,1.396038327564944059e-01,5.587859744208616315e-03
2.981112426035502949e+01,9.594555500245109669e-02,7.641488515028598862e-03
3.006106508875739536e+01,9.107363725256491238e-02,7.890747038403984892e-03
3.029585798816568243e+01,1.607536488677279718e-01,6.846460899577038253e-03
3.051550295857988360e+01,1.086107556525987700e-01,1.046555697188636565e-02
3.071999999999999886e+01,8.906217793492508805e-02,8.209296728679685642e-03
3.090934911242603533e+01,8.041234754968074050e-02,1.547733367121591902e-02
3.108355029585798945e+01,1.354085363771119765e-01,9.542815938353512578e-03
3.124260355029585767e+01,1.647455027245652015e-01,1.635946134499848340e-02
3.138650887573964710e+01,7.846713568267660310e-02,1.101294723488620286e-02
3.151526627218935062e+01,7.666954752218431424e-02,1.283598324697715100e-02
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,2.839121825867637477e-02,1.036783368282005562e-02
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,8.981855607250850693e-03,9.929212267361370650e-03
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,-2.463218203626713759e-02,9.794595163196077869e-03
