index,energy_per_site
0.000000000000000000e+00,1.704373567358109798e-01
1.000000000000000000e+00,1.590439751329802698e-01
2.000000000000000000e+00,1.591732319022864384e-01
3.000000000000000000e+00,1.523166682148213436e-01
4.000000000000000000e+00,1.572160718725449935e-01
5.000000000000000000e+00,1.542431807455690029e-01
6.000000000000000000e+00,1.540427744696455103e-01
7.000000000000000000e+00,1.537274475040632249e-01
8.000000000000000000e+00,1.555013566576531892e-01
9.000000000000000000e+00,1.625152230764717598e-01
