step,energy_per_site
0.000000000000000000e+00,5.465117431367381151e-01
1.000000000000000000e+06,2.237034958676195340e-01
2.000000000000000000e+06,2.166299202992860717e-01
3.000000000000000000e+06,2.186817083470184997e-01
4.000000000000000000e+06,2.173770963192362959e-01
5.000000000000000000e+06,2.196466109411350509e-01
6.000000000000000000e+06,2.130800848513005052e-01
7.000000000000000000e+06,2.162132418587501270e-01
8.000000000000000000e+06,2.165242365262975976e-01
9.000000000000000000e+06,2.166704746703570494e-01
1.000000000000000000e+07,2.186383365795291911e-01
