r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,9.948422196303817744e-01
1.500000000000000000e+00,9.872448122235720769e-01
2.500000000000000000e+00,9.768781881348267415e-01
3.500000000000000000e+00,9.607483588436571686e-01
4.500000000000000000e+00,9.425417880309185925e-01
5.500000000000000000e+00,9.226128309805744498e-01
6.500000000000000000e+00,9.025962656536621331e-01
7.500000000000000000e+00,8.828607764473000996e-01
8.500000000000000000e+00,8.624758782358178388e-01
9.500000000000000000e+00,8.401086019879406841e-01
1.050000000000000000e+01,8.179795023156742895e-01
1.150000000000000000e+01,7.979184085243467006e-01
1.250000000000000000e+01,7.786869457121099458e-01
1.350000000000000000e+01,7.583665927268484763e-01
1.450000000000000000e+01,7.397511345581971876e-01
1.550000000000000000e+01,7.210752397967042926e-01
1.650000000000000000e+01,7.005994567246771609e-01
1.750000000000000000e+01,6.831084415437036483e-01
1.850000000000000000e+01,6.648001490185129203e-01
1.950000000000000000e+01,6.469715470423748060e-01
2.050000000000000000e+01,6.299815886558728373e-01
2.150000000000000000e+01,6.136956128565377311e-01
2.250000000000000000e+01,5.947721926296890560e-01
2.350000000000000000e+01,5.784568291432573561e-01
2.450000000000000000e+01,5.605429328611828410e-01
2.550000000000000000e+01,5.449197049637549695e-01
2.650000000000000000e+01,5.276704147120835353e-01
2.750000000000000000e+01,5.140607762076828680e-01
2.850000000000000000e+01,4.967176631850216406e-01
2.950000000000000000e+01,4.793977935756503772e-01
3.050000000000000000e+01,4.646029131797758671e-01
3.150000000000000000e+01,4.496794776865269960e-01
3.250000000000000000e+01,4.344678968081611137e-01
3.350000000000000000e+01,4.190446439898067310e-01
3.450000000000000000e+01,4.053794092262167359e-01
3.550000000000000000e+01,3.888957641686934807e-01
3.650000000000000000e+01,3.747985867227921486e-01
3.750000000000000000e+01,3.623344531745435471e-01
3.850000000000000000e+01,3.473539866549060773e-01
3.950000000000000000e+01,3.333959362890096534e-01
4.050000000000000000e+01,3.215899855978293087e-01
4.150000000000000000e+01,3.071438588009826054e-01
4.250000000000000000e+01,2.937734852702900690e-01
4.350000000000000000e+01,2.804009993770802955e-01
4.450000000000000000e+01,2.688586587189269461e-01
4.550000000000000000e+01,2.569484607822616895e-01
4.650000000000000000e+01,2.458886561559209261e-01
4.750000000000000000e+01,2.339982971575371162e-01
4.850000000000000000e+01,2.213793504483636820e-01
4.950000000000000000e+01,2.107152889757105407e-01
5.050000000000000000e+01,2.026346977408832184e-01
5.150000000000000000e+01,1.905181527526516594e-01
5.250000000000000000e+01,1.813827882592498608e-01
5.350000000000000000e+01,1.722309331684954981e-01
5.450000000000000000e+01,1.620409612920054032e-01
5.550000000000000000e+01,1.524685475525661971e-01
5.650000000000000000e+01,1.448368557196547668e-01
5.750000000000000000e+01,1.353209735613924436e-01
5.850000000000000000e+01,1.274608035845350706e-01
5.950000000000000000e+01,1.189278309209925860e-01
6.050000000000000000e+01,1.119497851803607225e-01
6.150000000000000000e+01,1.018605768546671925e-01
6.250000000000000000e+01,9.475809919853796226e-02
6.350000000000000000e+01,8.784343816601501709e-02
6.450000000000000000e+01,7.998934028420937037e-02
6.550000000000000000e+01,7.182777153163505401e-02
6.650000000000000000e+01,6.565894595654674093e-02
6.750000000000000000e+01,5.675500858836157042e-02
6.850000000000000000e+01,5.079192963983934078e-02
6.950000000000000000e+01,4.282027334775388716e-02
7.050000000000000000e+01,3.716789686379659563e-02
7.150000000000000000e+01,2.902909157548485414e-02
7.250000000000000000e+01,2.466885176833718413e-02
7.350000000000000000e+01,1.723088929736393826e-02
7.450000000000000000e+01,1.131365390306699782e-02
7.550000000000000000e+01,5.532181345803949442e-03
7.650000000000000000e+01,7.416556644014033872e-04
7.750000000000000000e+01,6.473276517086610539e-03
7.850000000000000000e+01,1.124902226683119517e-02
7.950000000000000000e+01,1.648583702440278159e-02
8.050000000000000000e+01,2.172271689057710120e-02
8.150000000000000000e+01,2.527891550325441980e-02
8.250000000000000000e+01,3.158116610068191499e-02
8.350000000000000000e+01,3.514650920808638085e-02
8.450000000000000000e+01,3.975803961576090950e-02
8.550000000000000000e+01,4.353698516341729385e-02
8.650000000000000000e+01,4.812620781256078673e-02
8.750000000000000000e+01,4.920641165482442236e-02
8.850000000000000000e+01,5.572246943311421480e-02
8.950000000000000000e+01,5.706550594404471294e-02
9.050000000000000000e+01,6.119774578069603344e-02
9.150000000000000000e+01,6.381432071882041368e-02
9.250000000000000000e+01,6.705430955142167859e-02
9.350000000000000000e+01,6.939341886142677551e-02
9.450000000000000000e+01,7.143663079725097453e-02
9.550000000000000000e+01,7.613008597535543542e-02
9.650000000000000000e+01,7.660630087076138184e-02
9.750000000000000000e+01,7.907889447661836657e-02
9.850000000000000000e+01,8.231963785508097931e-02
9.950000000000000000e+01,8.460291740836693719e-02
1.005000000000000000e+02,8.355133814818814508e-02
1.015000000000000000e+02,8.847134956908829506e-02
1.025000000000000000e+02,8.781900580436589887e-02
1.035000000000000000e+02,9.201858874323391724e-02
1.045000000000000000e+02,8.938647642385937064e-02
1.055000000000000000e+02,9.383254697389036003e-02
1.065000000000000000e+02,9.303404628328816595e-02
1.075000000000000000e+02,9.556632982150142785e-02
1.085000000000000000e+02,9.444043195802519219e-02
1.095000000000000000e+02,9.512427713296904563e-02
1.105000000000000000e+02,9.603099069832192469e-02
1.115000000000000000e+02,9.790176263035575699e-02
1.125000000000000000e+02,1.010282004565949965e-01
1.135000000000000000e+02,1.002859658925363412e-01
1.145000000000000000e+02,1.047292879618383077e-01
1.155000000000000000e+02,1.002393852703152705e-01
1.165000000000000000e+02,1.070573541802943424e-01
1.175000000000000000e+02,1.020598134638977111e-01
1.185000000000000000e+02,1.063308961306400485e-01
1.195000000000000000e+02,1.011242320876904743e-01
1.205000000000000000e+02,1.072424092597344392e-01
1.215000000000000000e+02,1.028716667353744424e-01
1.225000000000000000e+02,1.065205160751111768e-01
1.235000000000000000e+02,1.019948050451722071e-01
1.245000000000000000e+02,1.062879813910096727e-01
1.255000000000000000e+02,9.962183921317704915e-02
1.265000000000000000e+02,1.092653418892629708e-01
1.275000000000000000e+02,9.807248226328205143e-02
