step,energy_per_site
0.000000000000000000e+00,1.120871112780398082e+00
1.000000000000000000e+07,3.003976943601582850e-01
2.000000000000000000e+07,2.617765615584998207e-01
3.000000000000000000e+07,2.174180165799644293e-01
4.000000000000000000e+07,1.858166396351456640e-01
5.000000000000000000e+07,1.639768917167279960e-01
6.000000000000000000e+07,1.471954842085754223e-01
7.000000000000000000e+07,1.327370667546100558e-01
8.000000000000000000e+07,1.222682915891410427e-01
9.000000000000000000e+07,1.119843556916497312e-01
1.000000000000000000e+08,1.036602260418124782e-01
