step,energy_per_site
0.000000000000000000e+00,5.325518243795893669e-01
5.000000000000000000e+05,2.746429991931424452e-01
1.000000000000000000e+06,2.689861463966258803e-01
1.500000000000000000e+06,2.726538922918293473e-01
2.000000000000000000e+06,2.884489598580217140e-01
2.500000000000000000e+06,2.828307425979096346e-01
3.000000000000000000e+06,2.727825317732056609e-01
3.500000000000000000e+06,2.732737947882581397e-01
4.000000000000000000e+06,2.808700087683567159e-01
4.500000000000000000e+06,2.696865331266371513e-01
5.000000000000000000e+06,2.728868889669754938e-01
