index,energy_per_site
0.000000000000000000e+00,8.251975839392179657e-02
1.000000000000000000e+00,7.803817696651714486e-02
2.000000000000000000e+00,8.088949251830361564e-02
3.000000000000000000e+00,9.308482884063280782e-02
4.000000000000000000e+00,9.395025235150744614e-02
5.000000000000000000e+00,7.702212781219733295e-02
6.000000000000000000e+00,9.414829135109596681e-02
7.000000000000000000e+00,8.641366620436699564e-02
8.000000000000000000e+00,8.057103969243795127e-02
9.000000000000000000e+00,8.553331310157165357e-02
