r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.550045913682261300e-01,1.080753552595475030e-02,8.562056435015640010e-03
1.880624426078970401e+00,1.247446534467491243e-02,7.580245978312446023e-03
2.776859504132232814e+00,6.568664740331148916e-03,6.591470740534109175e-03
3.643709825528008039e+00,2.651977238463955420e-03,8.225975012299395830e-03
4.481175390266297853e+00,3.069819965564746754e-03,6.432939383383410453e-03
5.289256198347109361e+00,8.103485471370446697e-03,7.393356101566268650e-03
6.067952249770431905e+00,5.879213387284388040e-03,8.804849782375116091e-03
6.817263544536272590e+00,5.887059138846467352e-03,6.964403500798406303e-03
7.537190082644627864e+00,7.619708265276220471e-03,7.498762721293838855e-03
8.227731864095499503e+00,2.366564345027521998e-03,6.412237570628893414e-03
8.888888888888889284e+00,1.717686532003889072e-02,5.206656301558931083e-03
9.520661157024793653e+00,5.765247696939601769e-03,6.378572254360789263e-03
1.012304866850321261e+01,9.450363327059379398e-03,6.471339670953729639e-03
1.069605142332415149e+01,1.218674563924743333e-02,5.902995117674027063e-03
1.123966942148760495e+01,3.634904409747938270e-03,9.084534902579478183e-03
1.175390266299357123e+01,5.758634887466546753e-03,4.611026287794636920e-03
1.223875114784205564e+01,1.418407444010597734e-02,8.678246925490202407e-03
1.269421487603305820e+01,9.972133632651442731e-03,9.269230134285840958e-03
1.312029384756657535e+01,1.654765317209495185e-02,1.191789747690221585e-02
1.351698806244260709e+01,-6.980951363718744355e-04,1.020854161232869969e-02
1.388429752066115697e+01,-1.974236456618672433e-03,5.588897527926231165e-03
1.422222222222222321e+01,4.969035045185143940e-03,1.578720015909367003e-02
1.453076216712580404e+01,1.040465872729173617e-02,1.366409988574491044e-02
1.480991735537190124e+01,7.129404315167811763e-03,1.669330950355738322e-02
1.505968778696051480e+01,2.499659323819678272e-02,2.505758180514507452e-02
1.528007346189164295e+01,1.778177848245172249e-02,2.598723226001531036e-02
1.547107438016528924e+01,5.288659311910386129e-02,1.750399572538364340e-02
1.563269054178145012e+01,4.610725267813944178e-04,2.550383012461958365e-02
1.576492194674012914e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.586776859504132275e+01,-3.227575763534545894e-02,2.417813094106198782e-02
1.594123048668503273e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.598530762167125729e+01,-8.312823544916830842e-03,8.788106311477235019e-03
