T,eta,eta_err,xi,xi_err
1.00000000e-05,8.55683131e-01,1.63995683e-01,1.27714898e+02,8.30936607e+01
1.00000000e-02,5.10857875e-05,5.46467292e-07,4.35838424e+05,3.29875732e+04
5.00000000e-02,2.98547549e-03,1.96504379e-05,6.59730786e+03,4.17380333e+02
1.00000000e-01,2.22493115e-02,4.10292215e-04,1.87195145e+03,4.57309362e+01
1.50000000e-01,6.59777289e-02,5.18411670e-04,2.87257791e+02,2.11159108e+01
1.60000000e-01,8.69367725e-02,3.10838231e-04,5.29859616e+02,2.26262359e+01
1.70000000e-01,1.29155609e-01,6.76399059e-04,3.46302970e+02,1.27240949e+01
1.80000000e-01,1.40082073e-01,4.51258325e-04,3.29674493e+02,1.42339214e+01
1.85000000e-01,2.01918850e-01,1.36570644e-03,1.05616520e+02,6.73371104e+00
1.90000000e-01,1.72032695e-01,2.90394869e-03,1.04038337e+02,7.51021386e+00
1.95000000e-01,4.49169042e-01,1.12008295e-02,6.30907433e+01,3.00665445e+00
2.00000000e-01,5.61651854e-01,1.00095702e-02,4.50758730e+01,2.21614678e+00
2.05000000e-01,1.79466298e+00,1.38571143e-01,1.36417194e+01,6.05175723e-01
2.10000000e-01,1.38958581e+00,7.47671284e-02,9.81149037e+00,1.60136613e-01
2.15000000e-01,1.88662792e+00,7.19849236e-02,2.34176772e+01,1.41202683e+00
2.20000000e-01,1.87553935e+00,9.31818135e-02,9.83730404e+00,8.10523196e-01
2.50000000e-01,1.42220165e+00,1.21382796e-01,3.08603755e+01,4.48213868e+00
3.00000000e-01,1.32952390e+00,1.64885569e-01,1.46229890e+01,3.48014507e+00
