step,energy_per_site
0.000000000000000000e+00,1.124772247178735807e+00
5.000000000000000000e+05,8.695039380111708738e-01
1.000000000000000000e+06,8.801375283843457797e-01
1.500000000000000000e+06,8.816366610123897996e-01
2.000000000000000000e+06,8.875009068839420090e-01
2.500000000000000000e+06,8.931954502713789212e-01
3.000000000000000000e+06,8.878067428358740187e-01
3.500000000000000000e+06,8.803612145315837800e-01
4.000000000000000000e+06,8.881074227652221431e-01
4.500000000000000000e+06,8.897359759390950362e-01
5.000000000000000000e+06,8.913867315706038852e-01
