index,energy_per_site
0.000000000000000000e+00,7.527882585591877396e-02
1.000000000000000000e+00,5.587197535412147947e-02
2.000000000000000000e+00,5.543817376973975142e-02
3.000000000000000000e+00,5.529390378392266825e-02
4.000000000000000000e+00,5.987003503008832966e-02
5.000000000000000000e+00,5.445707556311209230e-02
6.000000000000000000e+00,5.838129104222228305e-02
7.000000000000000000e+00,5.587584225812564781e-02
8.000000000000000000e+00,5.537438994355497329e-02
9.000000000000000000e+00,5.340886850709317818e-02
