step,energy_per_site
0.000000000000000000e+00,5.089705240609549985e-01
5.000000000000000000e+05,7.787274080235195850e-02
1.000000000000000000e+06,6.192890646920681808e-02
1.500000000000000000e+06,6.448313008901018772e-02
2.000000000000000000e+06,6.203989887938976544e-02
2.500000000000000000e+06,6.515537107665186900e-02
3.000000000000000000e+06,6.042504671612074219e-02
3.500000000000000000e+06,6.141639530366138633e-02
4.000000000000000000e+06,6.231571764566657540e-02
4.500000000000000000e+06,6.201456698438357479e-02
5.000000000000000000e+06,6.353440413005501108e-02
