T,chi,chi_err
1.00000000e-05,4.26536369e+01,1.90848311e+00
5.00000000e-02,3.83130499e+00,1.71426903e-01
1.00000000e-01,7.49309874e-01,3.35269239e-02
2.00000000e-01,1.57073345e+00,7.02804843e-02
3.00000000e-01,3.46978259e+00,1.55251040e-01
4.00000000e-01,2.46919775e+00,1.10481135e-01
5.00000000e-01,1.30812081e+01,5.85302133e-01
6.00000000e-01,8.71348264e+00,3.89873776e-01
7.00000000e-01,5.29497199e+00,2.36916834e-01
8.00000000e-01,1.72357663e+01,7.71192596e-01
9.00000000e-01,1.79780856e+01,8.04406735e-01
1.00000000e+00,3.62575357e+01,1.62229764e+00
1.10000000e+00,9.59547559e+00,4.29337436e-01
1.20000000e+00,7.00827989e+01,3.13576633e+00
1.30000000e+00,5.89342643e+01,2.63693922e+00
1.40000000e+00,1.13180128e+01,5.06410189e-01
1.50000000e+00,9.04895408e+00,4.04884022e-01
1.60000000e+00,2.15453882e+01,9.64021186e-01
1.70000000e+00,2.32399460e+01,1.03984203e+00
2.00000000e+00,2.76297677e+00,1.23625906e-01
