T,eta,eta_err,xi,xi_err
1.00000000e-05,2.29483726e-01,1.70374687e-02,7.88070792e+01,1.27781841e+00
5.00000000e-02,5.84149960e-03,1.07845033e-04,3.73788103e+03,1.28112644e+02
1.00000000e-01,8.12293124e-03,1.15569442e-04,3.03216307e+03,2.15261153e+02
2.00000000e-01,1.59364731e-02,2.60083386e-04,1.56593141e+03,1.17463242e+02
3.00000000e-01,3.79126670e-02,7.70920708e-04,5.72816402e+02,1.89180467e+01
4.00000000e-01,3.62114115e-02,3.29210546e-04,6.68554739e+02,4.35805135e+01
5.00000000e-01,6.47087695e-02,9.14274043e-04,3.43138545e+02,1.34101218e+01
6.00000000e-01,5.72937663e-02,2.67854885e-04,4.12423413e+02,2.37782720e+01
7.00000000e-01,6.23925440e-02,1.28514726e-03,4.05203325e+02,3.23138972e+01
8.00000000e-01,9.49472407e-02,7.95032122e-04,2.38857443e+02,1.07814159e+01
9.00000000e-01,1.21027690e-01,1.00907833e-03,1.88464454e+02,8.87666304e+00
1.00000000e+00,1.97140012e-01,6.01326881e-03,1.05893290e+02,2.29033110e+00
1.10000000e+00,1.01280538e-01,1.62376829e-03,2.46755326e+02,1.85801686e+01
1.20000000e+00,1.95810056e-01,3.91677384e-03,1.10756937e+02,3.56559633e+00
1.30000000e+00,2.45239832e-01,6.14388160e-03,8.69218587e+01,2.40695660e+00
1.40000000e+00,2.40877352e-01,2.73413584e-03,9.33313129e+01,3.99314088e+00
1.50000000e+00,4.05686964e-01,1.32992366e-02,5.13565300e+01,1.20570580e+00
1.60000000e+00,1.21017331e+00,1.14610900e-01,1.16572680e+01,4.73271373e-01
1.70000000e+00,1.20376913e+00,2.83481411e-02,1.79715059e+01,6.02523831e-01
2.00000000e+00,1.32649757e+00,1.77056886e-01,2.20010524e+01,5.44526102e+00
