r,G,G_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,1.759771237868747729e-01,6.909167858849237301e-03
1.938934911242604642e+00,1.805574219674188075e-01,5.486811717749426158e-03
2.885680473372783439e+00,1.806444982586461745e-01,5.844023309485944090e-03
3.817278106508876334e+00,1.831127967234399412e-01,4.663801520679083587e-03
4.733727810650883328e+00,1.792862261276799429e-01,5.493006916527430269e-03
5.635029585798818630e+00,1.802762330923428358e-01,5.317916490740264186e-03
6.521183431952664478e+00,1.793932908543075244e-01,5.002010545519311457e-03
7.392189349112427976e+00,1.786110575459713690e-01,5.095182398319447921e-03
8.248047337278105573e+00,1.746725108167504203e-01,4.395269727942676015e-03
9.088757396449704373e+00,1.763347135624374895e-01,4.754645731562047103e-03
9.914319526627220824e+00,1.750741005427375041e-01,5.433504508845055959e-03
1.072473372781065137e+01,1.801980020338035393e-01,5.710339868092892748e-03
1.151999999999999602e+01,1.793298482776823632e-01,5.449287521443395114e-03
1.230011834319526542e+01,1.788100255069415556e-01,4.676177955421065291e-03
1.306508875739645248e+01,1.776059209406964656e-01,6.188648002989189344e-03
1.381491124260355008e+01,1.752334235801168705e-01,5.419728622298039880e-03
1.454958579881656533e+01,1.768456875167052356e-01,5.003533976141665007e-03
1.526911242603550534e+01,1.770736260597048084e-01,5.704004965363015586e-03
1.597349112426035944e+01,1.777941839480546016e-01,4.664894000599034002e-03
1.666272189349112409e+01,1.780139822090916479e-01,5.391623482292442864e-03
1.733680473372780995e+01,1.744417830928939595e-01,4.275061793833443563e-03
1.799573964497041345e+01,1.763902219723432196e-01,5.153668415730335711e-03
1.863952662721893816e+01,1.785707633530401184e-01,5.876351696677074680e-03
1.926816568047337341e+01,1.794293341324196545e-01,4.544232393492481266e-03
1.988165680473372632e+01,1.732379317824076503e-01,6.201100949622602096e-03
2.048000000000000043e+01,1.778901011826523881e-01,4.841774000393571538e-03
2.106319526627219219e+01,1.759873022612153115e-01,5.699914756904724163e-03
2.163124260355029804e+01,1.780722618687571035e-01,4.525156633455362613e-03
2.218414201183431800e+01,1.733788558909999111e-01,5.799769805468475529e-03
2.272189349112426271e+01,1.780697888204609558e-01,5.236279719026236054e-03
2.324449704142012152e+01,1.791640230818711543e-01,6.127663178566168135e-03
2.375195266272189443e+01,1.759010270256812225e-01,6.071941323566225866e-03
2.424426035502958499e+01,1.743514013200301305e-01,6.134451311618533027e-03
2.472142011834319675e+01,1.706398570136166970e-01,6.570150692262562674e-03
2.518343195266272261e+01,1.724573249880572146e-01,7.065633818685355602e-03
2.563029585798816612e+01,1.721438217097955303e-01,6.646807891235569088e-03
2.606201183431952728e+01,1.653406704414955852e-01,6.279607347039718561e-03
2.647857988165680609e+01,1.608899527123502926e-01,6.587909365688441633e-03
2.688000000000000256e+01,1.786430913861628833e-01,7.296645316036682108e-03
2.726627218934911312e+01,1.635188907935619662e-01,6.761452267635968336e-03
2.763739644970414133e+01,1.706248245109091843e-01,1.061274323022556518e-02
2.799337278106509075e+01,1.670049964230890249e-01,8.271304974661310150e-03
2.833420118343195426e+01,1.706397880726112648e-01,7.561502514505233016e-03
2.865988165680473543e+01,1.662457359514921962e-01,6.080163295572294478e-03
2.897041420118343069e+01,1.636267472080986662e-01,7.933530305769416133e-03
2.926579881656804716e+01,1.644633346470008861e-01,7.080785931710091921e-03
2.954603550295858128e+01,1.658567284961579014e-01,6.737697355517642192e-03
2.981112426035502949e+01,1.614623589399109549e-01,7.256508736486351127e-03
3.006106508875739536e+01,1.516925111140160487e-01,9.652001247109850274e-03
3.029585798816568243e+01,1.691893497203849350e-01,8.621835700995724577e-03
3.051550295857988360e+01,1.705355515105759778e-01,8.500949449452207055e-03
3.071999999999999886e+01,1.658840135940465033e-01,6.958709892274450061e-03
3.090934911242603533e+01,1.490325437484588678e-01,9.826502651173678327e-03
3.108355029585798945e+01,1.650536898707278544e-01,1.006990105284795434e-02
3.124260355029585767e+01,1.652881661755240816e-01,1.208207333006803066e-02
3.138650887573964710e+01,1.730927180948159949e-01,5.832092864226706350e-03
3.151526627218935062e+01,1.630413282714769652e-01,1.032772563005007055e-02
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,1.516947823954083452e-01,9.933726632223660938e-03
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,2.021939333603165467e-01,1.431821317594609254e-02
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,1.677263331081642606e-01,6.388256331066925753e-03
