r,G(r),G_err(r)
2.813910884343442831e+01,3.269666492082510811e-01,1.276120277799362192e-02
2.901700252842586281e+01,3.242569906298684024e-01,1.319154126676054008e-02
2.989102030310830571e+01,3.218095196098527122e-01,1.360800738304879243e-02
3.076116216748171439e+01,3.194145769220783637e-01,1.393848846590075088e-02
3.162742812154611727e+01,3.168572191602935240e-01,1.424061889077930104e-02
3.248981816530151434e+01,3.145712575819172852e-01,1.449852755888334302e-02
3.334833229874789140e+01,3.122940224632646533e-01,1.474364051233285552e-02
3.420297052188524844e+01,3.098886693068486076e-01,1.480986124609684658e-02
3.505373283471362811e+01,3.080012270071295633e-01,1.494073044763319195e-02
3.590061923723297355e+01,3.057034530089945967e-01,1.502448435091487469e-02
3.674362972944329897e+01,3.039719438593027623e-01,1.517573422658181556e-02
3.758276431134460438e+01,3.023257949480004370e-01,1.529973301872960406e-02
3.841802298293690399e+01,3.005150356915752830e-01,1.541055347085033486e-02
3.924940574422021200e+01,2.987377440387521399e-01,1.540577049685956310e-02
4.007691259519448579e+01,2.974419383779533521e-01,1.531404939351246192e-02
4.090054353585975377e+01,2.960815186895625617e-01,1.531705654367939047e-02
4.172029856621600175e+01,2.949265525107118147e-01,1.519092449622625428e-02
4.253617768626322970e+01,2.941670887908361953e-01,1.509104370256672198e-02
4.334818089600145186e+01,2.935320752600490968e-01,1.501780378978180043e-02
4.415630819543066821e+01,2.920859275911993347e-01,1.489597198017203819e-02
4.496055958455086454e+01,2.906936126006826604e-01,1.495000530334517769e-02
4.576093506336204086e+01,2.892898057349005403e-01,1.485406419144637627e-02
4.655743463186421138e+01,2.878730786256641361e-01,1.478094027345770375e-02
4.735005829005736189e+01,2.866761450743857687e-01,1.477862728232262439e-02
4.813880603794153501e+01,2.850466804475214055e-01,1.478690796889845817e-02
4.892367787551665970e+01,2.840726644491987640e-01,1.477160502346348478e-02
4.970467380278277858e+01,2.827811851238036800e-01,1.469664112605467525e-02
5.048179381973989166e+01,2.816714882214950144e-01,1.470025766955252063e-02
5.125503792638798473e+01,2.802814981758319224e-01,1.473154198150894434e-02
5.202440612272708620e+01,2.795606325870974018e-01,1.480627634050745225e-02
5.278989840875715345e+01,2.765865602427501346e-01,1.492868723973162642e-02
