index,energy_per_site
0.000000000000000000e+00,-2.567413898416381346e-01
1.000000000000000000e+00,-2.682551906311691159e+00
2.000000000000000000e+00,-2.676397439782308041e+00
3.000000000000000000e+00,-2.684300436449690075e+00
4.000000000000000000e+00,-2.667968763618247863e+00
5.000000000000000000e+00,-2.682589521948576028e+00
6.000000000000000000e+00,-2.672413684303405645e+00
7.000000000000000000e+00,-2.673422273566882446e+00
8.000000000000000000e+00,-2.658597155205535412e+00
9.000000000000000000e+00,-2.681487879172900435e+00
