step,energy_per_site
0.000000000000000000e+00,5.250132818821606762e-01
1.000000000000000000e+05,1.955035559065205208e-01
2.000000000000000000e+05,1.357864885520830844e-01
3.000000000000000000e+05,1.002511255184437011e-01
4.000000000000000000e+05,7.139708969120144022e-02
5.000000000000000000e+05,4.786556333621267562e-02
6.000000000000000000e+05,3.687703539767837879e-02
7.000000000000000000e+05,3.207158744690257607e-02
8.000000000000000000e+05,2.910836301705069240e-02
9.000000000000000000e+05,2.407298017102717930e-02
1.000000000000000000e+06,2.019978343861023734e-02
