step,energy_per_site
0.000000000000000000e+00,1.136001187302471127e+00
2.000000000000000000e+05,3.425668959822525950e-01
4.000000000000000000e+05,3.442470996518166571e-01
6.000000000000000000e+05,3.309978594355713621e-01
8.000000000000000000e+05,3.443562043867920974e-01
1.000000000000000000e+06,3.382393960312828352e-01
1.200000000000000000e+06,3.512980485354585403e-01
1.400000000000000000e+06,3.329318947290287878e-01
1.600000000000000000e+06,3.292937983420589076e-01
1.800000000000000000e+06,3.457329096774948707e-01
2.000000000000000000e+06,3.434041806459058321e-01
