index,energy_per_site
0.000000000000000000e+00,8.535424040247335808e-02
1.000000000000000000e+00,8.418585244068520212e-02
2.000000000000000000e+00,8.525437775301118737e-02
3.000000000000000000e+00,8.266589707324213665e-02
4.000000000000000000e+00,8.627362364934243466e-02
5.000000000000000000e+00,8.665388242845752098e-02
6.000000000000000000e+00,8.414138277561815371e-02
7.000000000000000000e+00,8.442002309573799768e-02
8.000000000000000000e+00,8.333238523056218927e-02
9.000000000000000000e+00,8.535032001829211123e-02
