step,energy_per_site
0.000000000000000000e+00,5.424774717051172868e-01
1.000000000000000000e+06,3.035506978126722433e-01
2.000000000000000000e+06,2.982788379183867744e-01
3.000000000000000000e+06,2.919041022314803335e-01
4.000000000000000000e+06,2.962276296166259648e-01
5.000000000000000000e+06,2.944720348957864942e-01
6.000000000000000000e+06,2.930714791132351671e-01
7.000000000000000000e+06,2.969777648369820167e-01
8.000000000000000000e+06,3.007098741765470429e-01
9.000000000000000000e+06,2.950495050782392381e-01
1.000000000000000000e+07,2.887802388983989887e-01
