r,G,G_error
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,8.387511303434324050e-01,9.199043253851584131e-04
1.938934911242604642e+00,8.365822985848232474e-01,6.529727296869040345e-04
2.885680473372783439e+00,8.371533041408697473e-01,7.002311134633448916e-04
3.817278106508876334e+00,8.384941971448406361e-01,9.638454742793358147e-04
4.733727810650883328e+00,8.397190644223729850e-01,1.036690580073257491e-03
5.635029585798818630e+00,8.396293793942078976e-01,1.187945901369210104e-03
6.521183431952664478e+00,8.388433159093157121e-01,1.080191334675607417e-03
7.392189349112427976e+00,8.383972951237880222e-01,1.109830473541986674e-03
8.248047337278105573e+00,8.384950416108689630e-01,1.039927411065146717e-03
9.088757396449704373e+00,8.388811842878639569e-01,1.175754824473552789e-03
9.914319526627220824e+00,8.379310786131181077e-01,9.394347332805726061e-04
1.072473372781065137e+01,8.381452380831894144e-01,1.131363301153906747e-03
1.151999999999999602e+01,8.383501575527451122e-01,9.136706282459064682e-04
1.230011834319526542e+01,8.375825044309547218e-01,8.617343430011380851e-04
1.306508875739645248e+01,8.376224964256583361e-01,9.042531588648034099e-04
1.381491124260355008e+01,8.379417428749854624e-01,8.590729204606455333e-04
1.454958579881656533e+01,8.377971153437209217e-01,8.655722020292522679e-04
1.526911242603550534e+01,8.380420704052456982e-01,9.135383273731252250e-04
1.597349112426035944e+01,8.385017373704133359e-01,6.078083966763941437e-04
1.666272189349112409e+01,8.393350974942144216e-01,6.637236061949555212e-04
1.733680473372780995e+01,8.386526283414322824e-01,7.044486188221929122e-04
1.799573964497041345e+01,8.388026779245560949e-01,6.343610740879360426e-04
1.863952662721893816e+01,8.384503232193946110e-01,7.303699780620864258e-04
1.926816568047337341e+01,8.399240681930494334e-01,9.536646642621341308e-04
1.988165680473372632e+01,8.379646224621324357e-01,6.201802408717417298e-04
2.048000000000000043e+01,8.391561259794955152e-01,7.302653110338044136e-04
2.106319526627219219e+01,8.404565939314991851e-01,6.961174447647641922e-04
2.163124260355029804e+01,8.403370050364920019e-01,5.936461658694358904e-04
2.218414201183431800e+01,8.400972813470537481e-01,7.335497423082899295e-04
2.272189349112426271e+01,8.397785854726902421e-01,6.677784799670303693e-04
2.324449704142012152e+01,8.389663256019123105e-01,8.158535961093109573e-04
2.375195266272189443e+01,8.384015802822301078e-01,9.298590852277068388e-04
2.424426035502958499e+01,8.394401761389612693e-01,1.040132498969708686e-03
2.472142011834319675e+01,8.422650597740066747e-01,1.232846330401644527e-03
2.518343195266272261e+01,8.390407386721624450e-01,8.402548438239504066e-04
2.563029585798816612e+01,8.418025978405899723e-01,1.117584852815783295e-03
2.606201183431952728e+01,8.419358948801274334e-01,1.481644749136228371e-03
2.647857988165680609e+01,8.421888578536909087e-01,1.871804258213035938e-03
2.688000000000000256e+01,8.398999398797900584e-01,1.121213240030293412e-03
2.726627218934911312e+01,8.387289856654202014e-01,1.319151832907081373e-03
2.763739644970414133e+01,8.422897938788971306e-01,1.675678322746978338e-03
2.799337278106509075e+01,8.403148250915120077e-01,1.767663523054877235e-03
2.833420118343195426e+01,8.388502826657853184e-01,1.140368720070772000e-03
2.865988165680473543e+01,8.397978092361335634e-01,1.902875721256050163e-03
2.897041420118343069e+01,8.380317439174955751e-01,1.573925629583205121e-03
2.926579881656804716e+01,8.370996468442382099e-01,2.121538660568548715e-03
2.954603550295858128e+01,8.397317972194658919e-01,2.125996334936318052e-03
2.981112426035502949e+01,8.406324639944859900e-01,2.755015778174919015e-03
3.006106508875739536e+01,8.435261059033659636e-01,3.001825955140285506e-03
3.029585798816568243e+01,8.395202947220620215e-01,2.146980160392282944e-03
3.051550295857988360e+01,8.406711559510943177e-01,3.485411400262164016e-03
3.071999999999999886e+01,8.405409217643882158e-01,3.147150551020557775e-03
3.090934911242603533e+01,8.413863813440058959e-01,3.983725479288680385e-03
3.108355029585798945e+01,8.408824241427772517e-01,3.118082961565548858e-03
3.124260355029585767e+01,8.335281384730254262e-01,5.322138196695369756e-03
3.138650887573964710e+01,8.407379804971051307e-01,3.722247683602180213e-03
3.151526627218935062e+01,8.370517618876113231e-01,4.058353132185184460e-03
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,8.379901046007348642e-01,5.436954830413894685e-03
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,8.314415451379886246e-01,7.815307009222942358e-03
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,8.377081317765447954e-01,4.382375425302387911e-03
