step,energy_per_site
0.000000000000000000e+00,4.994366274038247039e-02
5.000000000000000000e+05,4.567271143423602339e-03
1.000000000000000000e+06,5.116952633501117148e-03
1.500000000000000000e+06,5.021952606316208712e-03
2.000000000000000000e+06,5.203405663666922122e-03
2.500000000000000000e+06,4.944149757532666917e-03
3.000000000000000000e+06,4.939321146710718216e-03
3.500000000000000000e+06,5.194401906108307709e-03
4.000000000000000000e+06,4.804484603986780220e-03
4.500000000000000000e+06,4.860303516211890787e-03
5.000000000000000000e+06,4.944949280697010473e-03
