x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,-1.383797592769729912e-01
1.000000000000000000e+00,0.000000000000000000e+00,-4.294356845686263524e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.373769313883543619e-01
3.000000000000000000e+00,0.000000000000000000e+00,-2.215367819439947317e-01
4.000000000000000000e+00,0.000000000000000000e+00,-1.835569617582147872e-01
5.000000000000000000e+00,0.000000000000000000e+00,1.481908490428931469e-01
6.000000000000000000e+00,0.000000000000000000e+00,1.589496878576368566e-02
7.000000000000000000e+00,0.000000000000000000e+00,-1.438016434777215080e-01
8.000000000000000000e+00,0.000000000000000000e+00,1.978948764693381213e-01
9.000000000000000000e+00,0.000000000000000000e+00,4.993551136439727811e-01
1.000000000000000000e+01,0.000000000000000000e+00,4.398411505052038928e-01
1.100000000000000000e+01,0.000000000000000000e+00,-2.261829014636594914e-01
1.200000000000000000e+01,0.000000000000000000e+00,-2.903920813568523496e-01
1.300000000000000000e+01,0.000000000000000000e+00,1.392976549179316681e-01
1.400000000000000000e+01,0.000000000000000000e+00,6.145355507147487462e-02
1.500000000000000000e+01,0.000000000000000000e+00,3.762486054330926866e-02
5.000000000000000000e-01,8.660254037844385966e-01,-3.884902804554227762e-01
1.500000000000000000e+00,8.660254037844385966e-01,1.703375481699322957e-01
2.500000000000000000e+00,8.660254037844385966e-01,7.502612693077082007e-02
3.500000000000000000e+00,8.660254037844385966e-01,1.740902149378520392e-02
4.500000000000000000e+00,8.660254037844385966e-01,-1.753946171366041473e-01
5.500000000000000000e+00,8.660254037844385966e-01,-5.040544540761449088e-02
6.500000000000000000e+00,8.660254037844385966e-01,1.676018086145367736e-01
7.500000000000000000e+00,8.660254037844385966e-01,5.644946914917903236e-02
8.500000000000000000e+00,8.660254037844385966e-01,-1.780738778969649383e-01
9.500000000000000000e+00,8.660254037844385966e-01,1.035135027064716384e-01
1.050000000000000000e+01,8.660254037844385966e-01,-1.321628843975599099e-01
1.150000000000000000e+01,8.660254037844385966e-01,-2.072994042276395943e-01
1.250000000000000000e+01,8.660254037844385966e-01,-2.272472537977698881e-02
1.350000000000000000e+01,8.660254037844385966e-01,1.699459995801099188e-01
1.450000000000000000e+01,8.660254037844385966e-01,2.045914308214044075e-01
1.550000000000000000e+01,8.660254037844385966e-01,6.102409104916850513e-02
0.000000000000000000e+00,1.732050807568877193e+00,4.320689690926531323e-01
