r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,8.207293257967833711e-01,2.300080200612236378e-03
1.938934911242604642e+00,7.725265339918372387e-01,3.919648102679848534e-03
2.885680473372783439e+00,7.440801886395276288e-01,5.047554492283805837e-03
3.817278106508876334e+00,7.208837576383814172e-01,5.373281093042896021e-03
4.733727810650883328e+00,7.007248414055272656e-01,5.845852635636981758e-03
5.635029585798818630e+00,6.838169511563130243e-01,6.836971814932369697e-03
6.521183431952664478e+00,6.682753913260108813e-01,8.526474246005361080e-03
7.392189349112427976e+00,6.489355885859808826e-01,1.024910260498621516e-02
8.248047337278105573e+00,6.320165562060412467e-01,1.123508129970866853e-02
9.088757396449704373e+00,6.185229131120494328e-01,1.253827155339927273e-02
9.914319526627220824e+00,6.053216219405209708e-01,1.369273635500411167e-02
1.072473372781065137e+01,5.945810069699672962e-01,1.502552262926405181e-02
1.151999999999999602e+01,5.838030908535389862e-01,1.584860983674066942e-02
1.230011834319526542e+01,5.747108349776350877e-01,1.637964607657164604e-02
1.306508875739645248e+01,5.683635848783819000e-01,1.687527001765615209e-02
1.381491124260355008e+01,5.612380295186967238e-01,1.766722350229750840e-02
1.454958579881656533e+01,5.559626672867686858e-01,1.816855728248136306e-02
1.526911242603550534e+01,5.509586798092075410e-01,1.857933219803110589e-02
1.597349112426035944e+01,5.442805490636428711e-01,1.897352187663956316e-02
1.666272189349112409e+01,5.398525655580648230e-01,1.956431579357903808e-02
1.733680473372780995e+01,5.350852955685533319e-01,2.016379835447072028e-02
1.799573964497041345e+01,5.289825723587184836e-01,2.077798607249082066e-02
1.863952662721893816e+01,5.241896902807954284e-01,2.167270017614812347e-02
1.926816568047337341e+01,5.224703988058564397e-01,2.155127088819551451e-02
1.988165680473372632e+01,5.188156483143997466e-01,2.267792774579837842e-02
2.048000000000000043e+01,5.143520101652968579e-01,2.287556726250625574e-02
2.106319526627219219e+01,5.100439698648394637e-01,2.291204528705485452e-02
2.163124260355029804e+01,5.102378808983611957e-01,2.405584298161133477e-02
2.218414201183431800e+01,5.068897839299097985e-01,2.476325651459563779e-02
2.272189349112426271e+01,5.006743671787250438e-01,2.546473615453911585e-02
2.324449704142012152e+01,5.023519237763105494e-01,2.508961756442004351e-02
2.375195266272189443e+01,4.915801026730940992e-01,2.599364514045816171e-02
2.424426035502958499e+01,4.975202841939773135e-01,2.497227750705623833e-02
2.472142011834319675e+01,4.959063426134985297e-01,2.464670435098915285e-02
2.518343195266272261e+01,4.944663820112607522e-01,2.565600571501760324e-02
2.563029585798816612e+01,4.944706113831876526e-01,2.534482140620430632e-02
2.606201183431952728e+01,5.125182684217753915e-01,2.301949297894299515e-02
2.647857988165680609e+01,4.823342252511800821e-01,2.706762099178586234e-02
2.688000000000000256e+01,5.126494818129466724e-01,2.297829808759040832e-02
2.726627218934911312e+01,4.789662662334551735e-01,2.732145650058095260e-02
2.763739644970414133e+01,5.700039823817801832e-01,1.712965830350804061e-02
2.799337278106509075e+01,4.976962908787100348e-01,2.519039499433347803e-02
2.833420118343195426e+01,5.246520249852455464e-01,2.068196241459047471e-02
2.865988165680473543e+01,5.732085716021524391e-01,1.718295010748757679e-02
2.897041420118343069e+01,4.736734824677903966e-01,2.702745962422944612e-02
2.926579881656804716e+01,5.508322159747400804e-01,1.510689733090727141e-02
2.954603550295858128e+01,5.542244599349530620e-01,1.671905725439050763e-02
2.981112426035502949e+01,5.106066576208142527e-01,2.085000317186383456e-02
3.006106508875739536e+01,5.076144011608330064e-01,2.125489369456506211e-02
3.029585798816568243e+01,5.631217289261115644e-01,1.255021656164150359e-02
3.051550295857988360e+01,5.305518014686622097e-01,1.784736751462218801e-02
3.071999999999999886e+01,5.226574513210610062e-01,2.045775123265682754e-02
3.090934911242603533e+01,4.783937413364313107e-01,1.975742980196761034e-02
3.108355029585798945e+01,5.488757094334495434e-01,1.300659083840702626e-02
3.124260355029585767e+01,5.964536701760708715e-01,2.038609956217646291e-02
3.138650887573964710e+01,5.073077775477405904e-01,2.056137634366990083e-02
3.151526627218935062e+01,5.226173831549499882e-01,1.853834289587014128e-02
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,5.000632474108430703e-01,2.453910494457541003e-02
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,5.481936630673522881e-01,2.166642158397345114e-02
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,5.131763262504729362e-01,2.841027254687300899e-02
