r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.941709942618359719e-01,7.307409325401047484e-01,6.363983350868375509e-04
1.984466078214651930e+00,6.656570865711785023e-01,1.004910351512939551e-03
2.970885251858462084e+00,6.308022759357070353e-01,1.322710082885402913e-03
3.953428515193252224e+00,6.065598980575479526e-01,1.727419364490605019e-03
4.932095868219064982e+00,5.875717466576756420e-01,1.963971986070739070e-03
5.906887310935829305e+00,5.723955377718332738e-01,2.301645969728632196e-03
6.877802843343587824e+00,5.579696376091801691e-01,2.695787260414099409e-03
7.844842465442326329e+00,5.461927754022581905e-01,3.188065875297969864e-03
8.808006177232044820e+00,5.363369203938207486e-01,3.784421866195917562e-03
9.767293978712771718e+00,5.277820805724374731e-01,4.364264738309685601e-03
1.072270586988446439e+01,5.201478576563597356e-01,4.981727593792299215e-03
1.167424185074717968e+01,5.129591898314187493e-01,5.570073485605062276e-03
1.262190192130086075e+01,5.063393039419216146e-01,6.070482398498041297e-03
1.356568608154552180e+01,5.009431466683710310e-01,6.435872224744978304e-03
1.450559433148117705e+01,4.954782024383712069e-01,6.895326591402225168e-03
1.544162667110781229e+01,4.899082238020274760e-01,7.385791759170563277e-03
1.637378310042544172e+01,4.846989065737057345e-01,7.833944890915064616e-03
1.730206361943405113e+01,4.798318196282234105e-01,8.508139459377415947e-03
1.822646822813365475e+01,4.752917480350185575e-01,9.153704896510331604e-03
1.914699692652423835e+01,4.711783182191226493e-01,9.791001661885319687e-03
2.006364971460583035e+01,4.672280977957637971e-01,1.030429976686595729e-02
2.097642659237838814e+01,4.633157464601014297e-01,1.075584561030234337e-02
2.188532755984194011e+01,4.594617656590775367e-01,1.125831799535403216e-02
2.279035261699647208e+01,4.552619357614306472e-01,1.171723898046273839e-02
2.369150176384199824e+01,4.513025352704484461e-01,1.210975544561830250e-02
2.458877500037850439e+01,4.478267333694139762e-01,1.241333798060374749e-02
2.548217232660599052e+01,4.442953414457176953e-01,1.272022048789634048e-02
2.637169374252449927e+01,4.405764760375374678e-01,1.306973724209155308e-02
2.725733924813397380e+01,4.370973872440216956e-01,1.337561364000013596e-02
2.813910884343442831e+01,4.341103565135352449e-01,1.369876018466953567e-02
2.901700252842586281e+01,4.310139123024434027e-01,1.410325281720868282e-02
2.989102030310830571e+01,4.279441687933274729e-01,1.442840721425518551e-02
3.076116216748171439e+01,4.251359128616808980e-01,1.483356754866005378e-02
3.162742812154611727e+01,4.224857823569651005e-01,1.518060720770121608e-02
3.248981816530151434e+01,4.198341130298675061e-01,1.558771219854215677e-02
3.334833229874789140e+01,4.168275633911650568e-01,1.604708010578104194e-02
3.420297052188524844e+01,4.146074429708038744e-01,1.633246870767387712e-02
3.505373283471362811e+01,4.125543696898369417e-01,1.665471780881829650e-02
3.590061923723297355e+01,4.101000580519146288e-01,1.696691723382520722e-02
3.674362972944329897e+01,4.077069527253142089e-01,1.720041663194636986e-02
3.758276431134460438e+01,4.050484984476098727e-01,1.752583487844582358e-02
3.841802298293690399e+01,4.024086791872429902e-01,1.776460399945784321e-02
3.924940574422021200e+01,3.997743047601084454e-01,1.820806665575966724e-02
4.007691259519448579e+01,3.977089716240533868e-01,1.843575806712332080e-02
4.090054353585975377e+01,3.951335896288357685e-01,1.891559417779827695e-02
4.172029856621600175e+01,3.929071160431452103e-01,1.919720180254247052e-02
4.253617768626322970e+01,3.906429408471787657e-01,1.952717683985436686e-02
4.334818089600145186e+01,3.880349122702841935e-01,1.976230166805878485e-02
4.415630819543066821e+01,3.865214502246330230e-01,1.994733439836331168e-02
4.496055958455086454e+01,3.839785543377392529e-01,2.024395425926628703e-02
4.576093506336204086e+01,3.821901160152361698e-01,2.055718023318263421e-02
4.655743463186421138e+01,3.801374815385898387e-01,2.086778231089730581e-02
4.735005829005736189e+01,3.779598724474801941e-01,2.118114103841290882e-02
4.813880603794153501e+01,3.764632745788673573e-01,2.157979608119678372e-02
4.892367787551665970e+01,3.742707172336204868e-01,2.188534571697407782e-02
4.970467380278277858e+01,3.730313879733102578e-01,2.234966300226664399e-02
5.048179381973989166e+01,3.708477153240686830e-01,2.266120626199978616e-02
5.125503792638798473e+01,3.696052882185630328e-01,2.303695268326564488e-02
5.202440612272708620e+01,3.681501756133541692e-01,2.341626853215395682e-02
5.278989840875715345e+01,3.668723549433187126e-01,2.369967930496628267e-02
5.355151478447820068e+01,3.656337364612343710e-01,2.404382562129209200e-02
5.430925524989024211e+01,3.638890349702372795e-01,2.443398853956809530e-02
5.506311980499326353e+01,3.621587448062249526e-01,2.478043855838484369e-02
