index,energy_per_site
0.000000000000000000e+00,5.215355838522328646e-01
1.000000000000000000e+00,2.123069671461096930e-01
2.000000000000000000e+00,2.175708696726720848e-01
3.000000000000000000e+00,2.142017987230703246e-01
4.000000000000000000e+00,2.151834111754186429e-01
5.000000000000000000e+00,2.198132912647895454e-01
6.000000000000000000e+00,2.152952406018906750e-01
7.000000000000000000e+00,2.106198526491510070e-01
8.000000000000000000e+00,2.148866715324180832e-01
9.000000000000000000e+00,2.194802265953565146e-01
