r,r_error,G,G_error
7.211102550927974697e+00,2.677958695487380229e-16,9.210457590835946506e-02,4.828677818014825117e-03
7.211102550927976473e+00,0.000000000000000000e+00,7.832893099813931226e-02,9.718830271537189352e-04
7.211102550927976473e+00,2.677958695487380229e-16,1.547027242430425165e-01,5.693364100851188749e-03
7.211102550927976473e+00,5.355917390974760458e-16,9.274738291803612256e-02,1.008697434621402692e-03
7.211102550927976473e+00,8.033876086462140687e-16,1.144854938732266098e-01,2.277766640761559776e-03
7.211102550927979138e+00,2.677958695487380229e-16,1.265954025474485267e-01,2.596591210989075693e-03
7.211102550927980914e+00,2.677958695487380229e-16,1.323288589664468606e-01,2.872182526382464560e-03
7.211102550927984467e+00,2.677958695487380229e-16,9.061474285450506205e-02,5.253966326954401592e-03
7.549834435270748045e+00,5.355917390974760458e-16,7.120164582607707571e-02,1.971567257920458019e-03
7.549834435270748045e+00,0.000000000000000000e+00,6.324766353710396805e-02,1.472809306263470151e-03
7.549834435270749822e+00,2.677958695487380229e-16,7.334808525789475453e-02,1.192415805565616872e-03
7.549834435270752486e+00,8.033876086462140687e-16,1.016119116056796445e-01,1.163491779567605135e-03
7.549834435270752486e+00,5.355917390974760458e-16,1.085747866739995848e-01,3.074486076377645934e-03
7.549834435270752486e+00,2.677958695487380229e-16,6.615073860064063505e-02,1.992120910847618252e-03
7.549834435270754263e+00,0.000000000000000000e+00,8.839144268839903285e-02,6.253752602798994323e-03
7.810249675906647759e+00,0.000000000000000000e+00,1.757672914352915268e-03,4.192292482782295285e-03
7.810249675906650424e+00,2.677958695487380229e-16,9.736339951551618854e-02,7.425034728205907528e-03
7.810249675906652200e+00,0.000000000000000000e+00,5.364617303645449753e-02,1.801827482613171418e-03
7.810249675906652200e+00,2.677958695487380229e-16,4.737101452389262668e-02,1.773593321569392599e-03
7.810249675906652200e+00,5.355917390974760458e-16,8.707866354869506220e-02,1.084126920885473922e-03
7.810249675906655753e+00,2.677958695487380229e-16,5.781260494030679431e-02,1.688897214298221497e-03
7.810249675906657529e+00,2.677958695487380229e-16,1.879946941003769467e-01,9.388922600239383437e-03
7.810249675906660194e+00,8.033876086462140687e-16,7.231811263492241015e-02,4.561046764264896185e-03
7.810249675906660194e+00,5.355917390974760458e-16,1.634482703202223275e-01,4.548810797825169130e-03
7.937253933193764155e+00,2.677958695487380229e-16,2.482663990590988114e-03,3.753017408357593818e-03
7.937253933193767708e+00,0.000000000000000000e+00,6.530162512762317795e-02,9.943779378897206825e-03
7.937253933193769484e+00,2.677958695487380229e-16,8.866098559138607671e-02,3.973423016897200885e-03
7.937253933193772149e+00,8.033876086462140687e-16,4.692439765307479527e-02,3.481862306501548165e-03
7.937253933193772149e+00,5.355917390974760458e-16,7.315822001277912101e-02,3.403884823551282975e-03
7.937253933193772149e+00,2.677958695487380229e-16,1.223861810469268063e-01,2.003349023578265831e-03
7.937253933193772149e+00,0.000000000000000000e+00,6.013134858882898670e-02,8.447091784166108237e-04
7.937253933193773037e+00,0.000000000000000000e+00,1.625722743895234579e-01,3.842946122528083028e-03
7.937253933193773925e+00,0.000000000000000000e+00,1.593730644556107523e-01,1.096157037900083280e-02
7.937253933193773925e+00,2.677958695487380229e-16,1.227875111920063017e-01,4.633423120448994757e-03
7.937253933193773925e+00,5.355917390974760458e-16,1.217046835816102540e-01,8.473235893395294344e-03
7.999999999999999112e+00,2.677958695487380229e-16,5.401979209349079547e-02,1.963470241513393631e-03
7.999999999999999112e+00,0.000000000000000000e+00,9.918772567953211550e-02,2.632079560218477353e-03
8.000000000000000000e+00,0.000000000000000000e+00,6.807113245082570263e-02,7.070003632474694847e-04
8.000000000000001776e+00,0.000000000000000000e+00,9.868017823806685129e-02,2.258327743367314396e-03
8.000000000000001776e+00,5.355917390974760458e-16,5.441969516136151847e-02,3.414511445174492170e-03
8.185352771872443256e+00,0.000000000000000000e+00,3.734103336372758108e-03,5.445553238904484415e-03
8.185352771872446809e+00,0.000000000000000000e+00,7.838674049281375844e-02,4.888154907162636266e-03
8.185352771872446809e+00,5.355917390974760458e-16,4.250001740211261508e-02,1.500848610201599258e-03
8.185352771872448585e+00,5.355917390974760458e-16,8.413659648445293016e-02,1.162145194088130828e-03
8.185352771872453914e+00,5.355917390974760458e-16,5.305571160723010493e-02,3.063764325480883201e-03
8.185352771872455691e+00,5.355917390974760458e-16,1.026419405068659668e-01,5.832914524011399184e-03
8.544003745317525045e+00,0.000000000000000000e+00,2.248911434250754765e-02,5.306413922964855860e-03
8.544003745317526821e+00,5.355917390974760458e-16,7.627163652154517193e-02,5.569796636925880215e-03
8.544003745317528598e+00,5.355917390974760458e-16,5.867195885975335506e-02,5.757790543597563924e-04
8.544003745317530374e+00,5.355917390974760458e-16,8.406038404781437934e-02,2.174877427108352131e-03
8.544003745317535703e+00,5.355917390974760458e-16,9.183304088322796765e-02,4.397503462474245187e-03
8.544003745317537479e+00,5.355917390974760458e-16,4.128501032644607549e-02,4.396756310929595367e-03
8.660254037844381969e+00,0.000000000000000000e+00,-5.617768239375767452e-04,3.370954248139401178e-03
8.660254037844383745e+00,0.000000000000000000e+00,-2.896790465315209756e-02,1.682811866226804551e-02
8.660254037844383745e+00,5.355917390974760458e-16,3.010089139779555806e-02,2.056285069270589842e-03
8.660254037844385522e+00,5.355917390974760458e-16,6.939919446518542923e-02,2.302970388929237444e-03
8.660254037844390851e+00,5.355917390974760458e-16,4.226308287682487702e-02,3.750633915551440829e-03
8.717797887081344399e+00,5.355917390974760458e-16,-1.846355786920440313e-03,3.339350253917342925e-03
8.717797887081344399e+00,0.000000000000000000e+00,-8.115433179412967143e-03,8.201237086176293642e-03
8.717797887081346175e+00,0.000000000000000000e+00,6.046578711574213116e-02,2.302155827724137235e-03
8.717797887081347952e+00,0.000000000000000000e+00,5.081867681343823356e-02,8.535243673842725625e-04
8.717797887081347952e+00,5.355917390974760458e-16,4.889416495655449224e-02,2.441265795764006527e-03
8.888194417315586904e+00,5.355917390974760458e-16,3.145310029678169417e-02,2.989308923491824227e-03
8.888194417315586904e+00,0.000000000000000000e+00,-2.040545680626619507e-02,7.760075756338700829e-03
8.888194417315588680e+00,0.000000000000000000e+00,5.408269084974559604e-02,6.163827954121472346e-04
8.888194417315590456e+00,0.000000000000000000e+00,6.257841984853595996e-02,1.911271593395925473e-03
8.999999999999994671e+00,5.355917390974760458e-16,1.625414971958240307e-02,4.733312125534073524e-03
8.999999999999998224e+00,5.355917390974760458e-16,1.033164549925025266e-01,3.170368015600948716e-03
8.999999999999998224e+00,0.000000000000000000e+00,6.833226994017310707e-02,3.731278696495373293e-03
9.000000000000000000e+00,0.000000000000000000e+00,4.491673290498732207e-02,1.129885183553257190e-03
9.000000000000001776e+00,0.000000000000000000e+00,5.332324618370351543e-02,3.219110941825996386e-03
9.000000000000001776e+00,5.355917390974760458e-16,7.882841869540678503e-02,2.881453857646382264e-03
9.165151389911674329e+00,5.355917390974760458e-16,-3.410063485507529215e-03,3.315535947978609337e-03
9.165151389911676105e+00,5.355917390974760458e-16,4.265248443193472155e-02,1.819378373559895658e-03
9.165151389911681434e+00,5.355917390974760458e-16,5.363666045768235996e-02,5.729044162214701067e-04
9.165151389911683211e+00,5.355917390974760458e-16,6.111351317604181432e-02,1.877795372502957111e-03
9.165151389911683211e+00,0.000000000000000000e+00,4.364682258833765122e-02,2.023068706041763944e-03
9.539392014169450817e+00,0.000000000000000000e+00,4.775888215467236769e-02,7.555905185054619111e-03
9.539392014169452594e+00,0.000000000000000000e+00,5.633859886423430927e-03,2.749415420905767116e-03
9.539392014169452594e+00,5.355917390974760458e-16,2.325107816573196776e-02,1.460790073268289661e-03
9.539392014169454370e+00,5.355917390974760458e-16,3.494516192527968163e-02,7.091461629765720334e-04
9.539392014169459699e+00,5.355917390974760458e-16,3.915604325040800832e-02,1.208947872049286011e-03
9.539392014169461476e+00,5.355917390974760458e-16,8.447413828062150243e-02,5.805876846935238700e-03
9.539392014169463252e+00,5.355917390974760458e-16,4.217795326693211944e-02,9.301843420453750552e-03
9.643650760992953153e+00,5.355917390974760458e-16,2.346115594474157406e-02,4.977928698385499125e-03
9.643650760992953153e+00,0.000000000000000000e+00,1.202505647806426103e-02,1.628376726496375167e-03
9.643650760992954929e+00,0.000000000000000000e+00,4.054329759499342850e-02,1.334674106110720140e-03
9.643650760992956705e+00,0.000000000000000000e+00,4.469444248646594481e-02,2.033385569900987913e-03
9.643650760992958482e+00,5.355917390974760458e-16,4.980402009548436787e-02,7.565080161958895148e-03
9.848857801796102152e+00,0.000000000000000000e+00,2.781069563517439905e-03,1.372503491540461940e-03
9.848857801796102152e+00,5.355917390974760458e-16,3.529367854771567337e-02,8.867640676759973566e-04
9.848857801796103928e+00,5.355917390974760458e-16,5.427744716997932872e-02,1.229585931548674406e-03
9.848857801796105704e+00,5.355917390974760458e-16,5.106862426849453906e-02,3.475728065480174211e-03
9.848857801796111033e+00,5.355917390974760458e-16,7.378016272305641665e-02,6.943661147011327868e-03
9.999999999999998224e+00,5.355917390974760458e-16,9.649562613592040441e-03,2.953445864916828117e-03
9.999999999999998224e+00,0.000000000000000000e+00,2.106543263924415613e-02,7.565400875433709801e-03
1.000000000000000000e+01,0.000000000000000000e+00,2.886805036192675519e-02,1.063154485667054281e-03
1.000000000000000178e+01,0.000000000000000000e+00,2.589322989623465618e-02,2.418319687221878300e-03
1.014889156509221380e+01,0.000000000000000000e+00,4.981202040768383660e-02,5.240409939694888435e-03
1.014889156509221557e+01,5.355917390974760458e-16,1.263193379156803998e-02,1.136925977733238557e-03
1.014889156509221735e+01,5.355917390974760458e-16,2.712230674086898649e-02,8.005009061445249709e-04
1.014889156509221912e+01,5.355917390974760458e-16,3.829581139262700634e-02,1.657939043069591497e-03
1.014889156509222445e+01,5.355917390974760458e-16,7.762824568479409493e-02,6.713335155669652478e-03
1.014889156509222623e+01,5.355917390974760458e-16,5.118000003993506547e-02,9.900586922660815220e-03
1.039230484541325872e+01,5.355917390974760458e-16,6.858274601294669578e-03,3.879046737946151378e-03
1.039230484541326227e+01,5.355917390974760458e-16,-2.162975094517525457e-03,2.220696820709413058e-03
1.039230484541326227e+01,0.000000000000000000e+00,4.237302583764168164e-03,1.899331945738281287e-03
1.039230484541326405e+01,0.000000000000000000e+00,1.683548906741945753e-02,5.655613974538012227e-04
1.039230484541326582e+01,0.000000000000000000e+00,2.878132061436285138e-02,2.960302104142721515e-03
1.039230484541326582e+01,5.355917390974760458e-16,6.286243253185205826e-02,6.538540101522236601e-03
1.044030650891054179e+01,5.355917390974760458e-16,1.041246813392157806e-02,1.855529868170427334e-03
1.044030650891054890e+01,5.355917390974760458e-16,9.938431655548658067e-03,3.201795269352402697e-03
1.044030650891055068e+01,5.355917390974760458e-16,-3.581361616875526708e-03,1.062464260449627086e-03
1.044030650891055068e+01,0.000000000000000000e+00,3.391820804690152957e-02,7.069564579563751994e-04
1.044030650891055245e+01,0.000000000000000000e+00,8.964521384469573834e-03,4.544754072854556397e-03
1.044030650891055423e+01,0.000000000000000000e+00,5.998773668767956591e-02,4.504857657741914018e-03
1.053565375285273653e+01,5.355917390974760458e-16,4.189482980645557048e-02,3.756572307648908642e-03
1.053565375285273653e+01,0.000000000000000000e+00,6.226174442945633415e-03,2.362371756664517763e-03
1.053565375285273831e+01,0.000000000000000000e+00,1.794248570832351550e-02,7.008289840857299165e-04
1.053565375285274008e+01,0.000000000000000000e+00,3.094835733208938303e-02,2.231761375850301911e-03
1.053565375285274186e+01,5.355917390974760458e-16,4.093913822377029388e-02,7.140393779180727839e-03
1.058300524425835754e+01,5.355917390974760458e-16,-4.489584673023575001e-02,8.026982083679527064e-03
1.058300524425835931e+01,0.000000000000000000e+00,-1.313083083303977390e-02,3.479921557407603117e-03
1.058300524425836109e+01,0.000000000000000000e+00,1.346281366167889106e-02,1.102516684171209269e-03
1.058300524425836109e+01,5.355917390974760458e-16,1.885996843882248655e-02,7.953150686498754954e-04
1.058300524425836819e+01,5.355917390974760458e-16,6.974643433793471792e-02,3.662706740621872372e-03
1.081665382639195805e+01,1.071183478194952092e-15,-3.185607303580139521e-02,5.619073501853137642e-03
1.081665382639196160e+01,5.355917390974760458e-16,5.718557539185635530e-02,5.399072287546676126e-03
1.081665382639196871e+01,1.071183478194952092e-15,-1.659845007565400807e-02,2.769638353531905621e-03
1.081665382639196871e+01,5.355917390974760458e-16,1.770669574497586024e-02,2.021607359038448196e-03
1.081665382639196871e+01,0.000000000000000000e+00,1.182366867240600139e-02,1.056288986967617071e-03
1.081665382639197048e+01,0.000000000000000000e+00,2.333398644197138064e-02,7.610370200394168255e-03
1.081665382639197226e+01,0.000000000000000000e+00,8.758964692049046874e-02,3.674658817357135451e-03
1.099999999999999822e+01,0.000000000000000000e+00,1.092622621823116820e-02,2.365797272192465394e-03
1.100000000000000000e+01,0.000000000000000000e+00,6.972213291363605660e-03,9.735032464909087590e-04
1.100000000000000178e+01,0.000000000000000000e+00,4.699232209743046951e-02,2.065588645132182197e-03
1.100000000000000178e+01,1.071183478194952092e-15,6.468238418076156793e-02,9.486212275717640502e-03
1.113552872566003771e+01,0.000000000000000000e+00,1.124628764806892556e-02,3.286704217757568589e-03
1.113552872566003948e+01,5.355917390974760458e-16,8.327454899339321523e-03,2.148346569095582054e-03
1.113552872566003948e+01,1.071183478194952092e-15,4.262960915498373825e-03,8.495849874752864524e-04
1.113552872566004304e+01,5.355917390974760458e-16,6.875736748328226122e-03,1.705307597328306482e-03
