step,energy_per_site
0.000000000000000000e+00,1.125668778763021516e+00
5.000000000000000000e+05,7.478647711578598756e-01
1.000000000000000000e+06,6.967391594493276274e-01
1.500000000000000000e+06,6.933835455766859113e-01
2.000000000000000000e+06,6.891146643602881205e-01
2.500000000000000000e+06,6.844373396511089780e-01
3.000000000000000000e+06,6.801035635793054590e-01
3.500000000000000000e+06,6.892173388573016313e-01
4.000000000000000000e+06,6.896139328494164111e-01
4.500000000000000000e+06,6.814390173164726061e-01
5.000000000000000000e+06,6.829445362149285659e-01
