step,energy_per_site
0.000000000000000000e+00,5.428707222549584710e-01
1.000000000000000000e+06,2.614173175899184853e-01
2.000000000000000000e+06,2.572909161933805700e-01
3.000000000000000000e+06,2.498938334685140705e-01
4.000000000000000000e+06,2.536225910737140432e-01
5.000000000000000000e+06,2.460918288982252289e-01
6.000000000000000000e+06,2.499795111344794984e-01
7.000000000000000000e+06,2.472798979695222665e-01
8.000000000000000000e+06,2.505097148045997701e-01
9.000000000000000000e+06,2.520800289845520070e-01
1.000000000000000000e+07,2.486728284711651193e-01
