r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,9.954991192641419184e-01
1.500000000000000000e+00,9.925857265132495000e-01
2.500000000000000000e+00,9.908466435482433665e-01
3.500000000000000000e+00,9.890307107967010181e-01
4.500000000000000000e+00,9.872713576595647522e-01
5.500000000000000000e+00,9.854821623778188266e-01
6.500000000000000000e+00,9.836846698884122997e-01
7.500000000000000000e+00,9.818598398527615956e-01
8.500000000000000000e+00,9.799020692085982365e-01
9.500000000000000000e+00,9.776510227630151872e-01
1.050000000000000000e+01,9.752257402311387269e-01
1.150000000000000000e+01,9.730408383431345953e-01
1.250000000000000000e+01,9.708340138258322316e-01
1.350000000000000000e+01,9.683064996518635503e-01
1.450000000000000000e+01,9.660143603497434173e-01
1.550000000000000000e+01,9.636626881007207546e-01
1.650000000000000000e+01,9.603783446029972026e-01
1.750000000000000000e+01,9.582010796683572140e-01
1.850000000000000000e+01,9.554794082586069992e-01
1.950000000000000000e+01,9.528438834197491270e-01
2.050000000000000000e+01,9.502214573718728019e-01
2.150000000000000000e+01,9.478746848408715620e-01
2.250000000000000000e+01,9.446197228683974600e-01
2.350000000000000000e+01,9.422289059978443682e-01
2.450000000000000000e+01,9.392933029306679282e-01
2.550000000000000000e+01,9.369546797907510882e-01
2.650000000000000000e+01,9.338335820703168588e-01
2.750000000000000000e+01,9.323657546881403135e-01
2.850000000000000000e+01,9.291218650239745358e-01
2.950000000000000000e+01,9.261273741906953516e-01
3.050000000000000000e+01,9.238347490670129059e-01
3.150000000000000000e+01,9.218009935894477813e-01
3.250000000000000000e+01,9.191609618573413076e-01
3.350000000000000000e+01,9.169092957607959393e-01
3.450000000000000000e+01,9.147272669878453444e-01
3.550000000000000000e+01,9.118818795561655088e-01
3.650000000000000000e+01,9.094230506293616845e-01
3.750000000000000000e+01,9.083511964144677098e-01
3.850000000000000000e+01,9.056768747641735784e-01
3.950000000000000000e+01,9.036526044598865992e-01
4.050000000000000000e+01,9.023112547400541361e-01
4.150000000000000000e+01,8.998096028996092066e-01
4.250000000000000000e+01,8.982565424131500054e-01
4.350000000000000000e+01,8.960177374794308092e-01
4.450000000000000000e+01,8.950012977398191794e-01
4.550000000000000000e+01,8.932463034834809967e-01
4.650000000000000000e+01,8.925740260344270371e-01
4.750000000000000000e+01,8.907767646015162244e-01
4.850000000000000000e+01,8.892489957064145800e-01
4.950000000000000000e+01,8.877030027962554692e-01
5.050000000000000000e+01,8.882217988948055698e-01
5.150000000000000000e+01,8.860836763130207627e-01
5.250000000000000000e+01,8.864348127824662749e-01
5.350000000000000000e+01,8.851225440442117565e-01
5.450000000000000000e+01,8.847563670956639648e-01
5.550000000000000000e+01,8.842149963468604046e-01
5.650000000000000000e+01,8.868073113252872286e-01
5.750000000000000000e+01,8.865778499063796669e-01
5.850000000000000000e+01,8.878033653087474830e-01
5.950000000000000000e+01,8.878474642403539896e-01
6.050000000000000000e+01,8.887473290092706701e-01
6.150000000000000000e+01,8.889030511260035405e-01
6.250000000000000000e+01,8.890065709287952034e-01
6.350000000000000000e+01,8.901056320765242669e-01
