r,G(r),G_err(r)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.770414201183399427e-01,6.099483531837419648e-01,3.716366064945607079e-03
1.938934911242604642e+00,5.131324546507786133e-01,5.555035579922863037e-03
2.885680473372783439e+00,4.581298209432479451e-01,8.065149400490648213e-03
3.817278106508876334e+00,4.202056303494391409e-01,9.465589056520423705e-03
4.733727810650883328e+00,3.910174323580088984e-01,9.437023610149721659e-03
5.635029585798818630e+00,3.713036709831393223e-01,9.150468850980897004e-03
6.521183431952664478e+00,3.589105271356550775e-01,8.438887378961099431e-03
7.392189349112427976e+00,3.465697211582184911e-01,8.427797801922810167e-03
8.248047337278105573e+00,3.359343644872077594e-01,9.572567969434750065e-03
9.088757396449704373e+00,3.267644422465004750e-01,1.068039895535718813e-02
9.914319526627220824e+00,3.182790699877345864e-01,1.224710325305343461e-02
1.072473372781065137e+01,3.112562566055511737e-01,1.369200016247602673e-02
1.151999999999999602e+01,3.017050176636703052e-01,1.477619134772325225e-02
1.230011834319526542e+01,2.950338894893319575e-01,1.549936775742763624e-02
1.306508875739645248e+01,2.923948939988662010e-01,1.603159280638124032e-02
1.381491124260355008e+01,2.869450222837832687e-01,1.659230696909761230e-02
1.454958579881656533e+01,2.813409556525962030e-01,1.724014935569995882e-02
1.526911242603550534e+01,2.766939205940093793e-01,1.779668437396839109e-02
1.597349112426035944e+01,2.688679157877246206e-01,1.759900718901813779e-02
1.666272189349112409e+01,2.666827953763427628e-01,1.776375867542278469e-02
1.733680473372780995e+01,2.607245005565474449e-01,1.896186315818738227e-02
1.799573964497041345e+01,2.554796511285645777e-01,1.965166666527401462e-02
1.863952662721893816e+01,2.518205862501138315e-01,2.102388801273143495e-02
1.926816568047337341e+01,2.448632873367884155e-01,2.197021632239343561e-02
1.988165680473372632e+01,2.417752523355699013e-01,2.392462115755982638e-02
2.048000000000000043e+01,2.377249222354662073e-01,2.518285026900040149e-02
2.106319526627219219e+01,2.273400638178332822e-01,2.643548947293804935e-02
2.163124260355029804e+01,2.296934140316805595e-01,2.712364991497952238e-02
2.218414201183431800e+01,2.256141818622807160e-01,2.861201751090260495e-02
2.272189349112426271e+01,2.101333169589580385e-01,2.991222528687481272e-02
2.324449704142012152e+01,2.216248852240899070e-01,3.095111647331043325e-02
2.375195266272189443e+01,2.043708135632710809e-01,3.314656646525197120e-02
2.424426035502958499e+01,2.193321313569345232e-01,3.404930371087960123e-02
2.472142011834319675e+01,2.115099195154033773e-01,3.519287575477613589e-02
2.518343195266272261e+01,2.050859008496973002e-01,3.544518896819821158e-02
2.563029585798816612e+01,2.039462822150595878e-01,3.655437828573000758e-02
2.606201183431952728e+01,1.969543082611657503e-01,3.748520981475023106e-02
2.647857988165680609e+01,1.860896537999106870e-01,3.887281418854807158e-02
2.688000000000000256e+01,1.853531215384774389e-01,3.826200376826972838e-02
2.726627218934911312e+01,1.667071908897758137e-01,3.839079919657403805e-02
2.763739644970414133e+01,1.833570786169329558e-01,3.922832986005207051e-02
2.799337278106509075e+01,1.662271783722645835e-01,3.663953913060349898e-02
2.833420118343195426e+01,1.665850588405278221e-01,3.597200936056808157e-02
2.865988165680473543e+01,1.632087118498674605e-01,3.709782342162355057e-02
2.897041420118343069e+01,1.548010512872248501e-01,3.277855545389821157e-02
2.926579881656804716e+01,1.582025950328792008e-01,3.826031566303707276e-02
2.954603550295858128e+01,1.480258836419062196e-01,3.538260294506521270e-02
2.981112426035502949e+01,1.419243570753084549e-01,3.027677592859576508e-02
3.006106508875739536e+01,1.396790836453537799e-01,3.052206364912445416e-02
3.029585798816568243e+01,1.375335696119263651e-01,4.035330521215688832e-02
3.051550295857988360e+01,1.453635136083492596e-01,3.391236245958301199e-02
3.071999999999999886e+01,1.384207220965044116e-01,3.279824925200077596e-02
3.090934911242603533e+01,1.238912482221378453e-01,3.393985868784066273e-02
3.108355029585798945e+01,1.240725752698889073e-01,4.026344364488420452e-02
3.124260355029585767e+01,1.294504655378229674e-01,4.720850102200659787e-02
3.138650887573964710e+01,1.180715272658430515e-01,3.510210301737945460e-02
3.151526627218935062e+01,1.292293459776824860e-01,4.015301131822335279e-02
3.162887573964497179e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.172733727810651061e+01,1.258652339436773238e-01,3.634773982408581738e-02
3.181065088757396353e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.187881656804733765e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193183431952662588e+01,1.052172945018868405e-01,3.781491445747542368e-02
3.196970414201183530e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.199242603550295883e+01,8.440891511008537240e-02,4.029574707103460857e-02
