x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,-7.405967005132185754e-03
1.000000000000000000e+00,0.000000000000000000e+00,-3.735351852140827988e-01
2.000000000000000000e+00,0.000000000000000000e+00,1.866708565745609505e-01
3.000000000000000000e+00,0.000000000000000000e+00,-3.335145490995750084e-02
4.000000000000000000e+00,0.000000000000000000e+00,-1.523564690618613993e-01
5.000000000000000000e+00,0.000000000000000000e+00,-1.871747394745248982e-01
6.000000000000000000e+00,0.000000000000000000e+00,-1.373925775083283396e-01
7.000000000000000000e+00,0.000000000000000000e+00,-4.171064281096797943e-02
8.000000000000000000e+00,0.000000000000000000e+00,-1.847850689081231845e-02
9.000000000000000000e+00,0.000000000000000000e+00,-8.766587613181808791e-02
1.000000000000000000e+01,0.000000000000000000e+00,-8.538403835363683747e-02
1.100000000000000000e+01,0.000000000000000000e+00,-4.806182077465420699e-02
1.200000000000000000e+01,0.000000000000000000e+00,6.396553876436916752e-02
1.300000000000000000e+01,0.000000000000000000e+00,-4.281726020362758289e-02
1.400000000000000000e+01,0.000000000000000000e+00,3.368617630743298008e-02
1.500000000000000000e+01,0.000000000000000000e+00,2.778160425654927490e-01
5.000000000000000000e-01,8.660254037844385966e-01,-3.877912633579890800e-01
1.500000000000000000e+00,8.660254037844385966e-01,-3.719477992995832705e-01
2.500000000000000000e+00,8.660254037844385966e-01,1.918718496539073559e-01
3.500000000000000000e+00,8.660254037844385966e-01,-2.217132738330332420e-01
4.500000000000000000e+00,8.660254037844385966e-01,-3.067214991262153800e-01
5.500000000000000000e+00,8.660254037844385966e-01,-1.432329256579624177e-01
6.500000000000000000e+00,8.660254037844385966e-01,-4.274669875862358026e-02
7.500000000000000000e+00,8.660254037844385966e-01,-3.457333741082413425e-02
8.500000000000000000e+00,8.660254037844385966e-01,-8.973215430105985213e-03
9.500000000000000000e+00,8.660254037844385966e-01,2.930153632097476368e-02
1.050000000000000000e+01,8.660254037844385966e-01,-3.915095996676060119e-02
1.150000000000000000e+01,8.660254037844385966e-01,-2.057531865977498819e-01
1.250000000000000000e+01,8.660254037844385966e-01,5.695822804757899593e-02
1.350000000000000000e+01,8.660254037844385966e-01,-9.327225145046291743e-02
1.450000000000000000e+01,8.660254037844385966e-01,-1.951140628619035811e-01
1.550000000000000000e+01,8.660254037844385966e-01,1.655617499270120030e-01
0.000000000000000000e+00,1.732050807568877193e+00,-3.640629569215610983e-01
1.000000000000000000e+00,1.732050807568877193e+00,-3.557603223559842043e-01
