step,energy_per_site
0.000000000000000000e+00,5.283610851300715172e-01
5.000000000000000000e+05,1.199957995408300615e-01
1.000000000000000000e+06,1.096086324257558586e-01
1.500000000000000000e+06,1.022491098281045480e-01
2.000000000000000000e+06,1.052374033679787380e-01
2.500000000000000000e+06,1.027556227024574997e-01
3.000000000000000000e+06,1.007709450149937846e-01
3.500000000000000000e+06,1.030882244812331983e-01
4.000000000000000000e+06,1.060385950021393853e-01
4.500000000000000000e+06,1.077034572803476503e-01
5.000000000000000000e+06,1.038488229087727588e-01
