step,energy_per_site
0.000000000000000000e+00,5.439956986474245859e-01
1.000000000000000000e+06,2.401322352002593918e-01
2.000000000000000000e+06,2.335293307846941224e-01
3.000000000000000000e+06,2.351039773061498750e-01
4.000000000000000000e+06,2.327744963966740521e-01
5.000000000000000000e+06,2.305273846203086396e-01
6.000000000000000000e+06,2.348151280771690885e-01
7.000000000000000000e+06,2.398108954709650686e-01
8.000000000000000000e+06,2.319317490794197689e-01
9.000000000000000000e+06,2.296033557338176545e-01
1.000000000000000000e+07,2.339694903609428889e-01
