r,r_error,G,G_error
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.999999999999960032e-01,3.347448369359225286e-17,8.216567481899447190e-01,9.098800900138535310e-04
9.999999999999988898e-01,3.347448369359225286e-17,8.367138881159369435e-01,6.266961753634777994e-04
9.999999999999998890e-01,3.347448369359225286e-17,8.293080070507095058e-01,1.363030709361217436e-03
9.999999999999998890e-01,0.000000000000000000e+00,7.095510575706852618e-01,4.895651813148832118e-03
1.000000000000000000e+00,0.000000000000000000e+00,8.305439985200109287e-01,9.007241383240740824e-04
1.000000000000000222e+00,0.000000000000000000e+00,8.327141759905228868e-01,4.364146391257360882e-03
1.000000000000000222e+00,6.694896738718450572e-17,8.264809247622796340e-01,1.497327202731612433e-03
1.000000000000001998e+00,0.000000000000000000e+00,8.267002256569953023e-01,1.334702908447740104e-03
1.732050807568874973e+00,0.000000000000000000e+00,7.811984018391883167e-01,1.377828336660253923e-03
1.732050807568876971e+00,6.694896738718450572e-17,7.903901710217581256e-01,3.747004366096573914e-04
1.732050807568877193e+00,0.000000000000000000e+00,7.511578713132901486e-01,7.960223006756232504e-04
1.732050807568877193e+00,6.694896738718450572e-17,7.869396112291240364e-01,3.384158693542593105e-03
1.732050807568878303e+00,2.008469021615535172e-16,7.834959949860524908e-01,1.029056514821514827e-03
1.732050807568878525e+00,0.000000000000000000e+00,7.927862067437239091e-01,1.162715340394685458e-03
1.732050807568882078e+00,0.000000000000000000e+00,7.447722853063435400e-01,2.027240178262513723e-03
1.999999999999997780e+00,6.694896738718450572e-17,7.730936561388517259e-01,8.328360913525435782e-04
1.999999999999999778e+00,6.694896738718450572e-17,7.660723600073615636e-01,5.371898808730890800e-04
1.999999999999999778e+00,0.000000000000000000e+00,6.435556990648597653e-01,5.724732991316518194e-03
2.000000000000000000e+00,0.000000000000000000e+00,7.775070440671971728e-01,6.827357315275119206e-04
2.000000000000000444e+00,0.000000000000000000e+00,7.596087024340139049e-01,1.911245052764951264e-03
2.000000000000000444e+00,1.338979347743690114e-16,8.002802569032848590e-01,1.037216456741701627e-03
2.000000000000003997e+00,0.000000000000000000e+00,7.509849252051655766e-01,1.720069787305754079e-03
2.645751311064583167e+00,1.338979347743690114e-16,7.633828675759449789e-01,5.257807411292415682e-03
2.645751311064586719e+00,1.338979347743690114e-16,7.259439264308814588e-01,3.575590353941908352e-03
2.645751311064589384e+00,1.338979347743690114e-16,7.561436994134353995e-01,1.193214571343617549e-03
2.645751311064589828e+00,0.000000000000000000e+00,7.518995425385629483e-01,3.233817336956444459e-03
2.645751311064590272e+00,0.000000000000000000e+00,7.632454084689753726e-01,8.361979039038340555e-04
2.645751311064590272e+00,1.338979347743690114e-16,7.407180756034243974e-01,5.519103528084747835e-04
2.645751311064592048e+00,1.338979347743690114e-16,7.718092037064923083e-01,6.612231110964579420e-04
2.645751311064592937e+00,1.338979347743690114e-16,7.849349505644763747e-01,6.513778550510761559e-03
2.645751311064593825e+00,0.000000000000000000e+00,7.347155843505411843e-01,1.862978676677929345e-03
2.645751311064593825e+00,1.338979347743690114e-16,6.266864367067204178e-01,8.271595558652472882e-03
2.999999999999993339e+00,2.677958695487380229e-16,7.737786751624614601e-01,3.812261240956844703e-03
2.999999999999996891e+00,0.000000000000000000e+00,7.317420020674064718e-01,1.688155975135852485e-03
2.999999999999999556e+00,2.677958695487380229e-16,7.706717257618556083e-01,3.123242809347102824e-03
2.999999999999999556e+00,0.000000000000000000e+00,7.153529024995090024e-01,2.630487434078877806e-03
3.000000000000000000e+00,0.000000000000000000e+00,7.443015711827711822e-01,4.378228414943039631e-04
3.000000000000000444e+00,1.338979347743690114e-16,8.342142748032735922e-01,1.942068120500075115e-03
3.000000000000001332e+00,1.338979347743690114e-16,7.863325349041243584e-01,5.324473702984910441e-03
3.000000000000003109e+00,0.000000000000000000e+00,6.422183939503476324e-01,7.374012461220763939e-03
3.464101615137749945e+00,0.000000000000000000e+00,7.308221655396441863e-01,1.614086950501089331e-03
3.464101615137753942e+00,1.338979347743690114e-16,7.364481205130167796e-01,5.958053726881360271e-04
3.464101615137754386e+00,0.000000000000000000e+00,7.171554365710995915e-01,6.856506798015622609e-04
3.464101615137754386e+00,1.338979347743690114e-16,7.038034947224288684e-01,2.649593420830996787e-03
3.464101615137756607e+00,4.016938043231070343e-16,7.700736376201352540e-01,5.206647218396629135e-04
3.464101615137757051e+00,0.000000000000000000e+00,7.180877207764072567e-01,1.837674478042732431e-03
3.605551275463983352e+00,2.677958695487380229e-16,7.620636816581322082e-01,4.020640504708412888e-03
3.605551275463985128e+00,1.338979347743690114e-16,7.363026952268938441e-01,1.443126089556589012e-03
3.605551275463987349e+00,1.338979347743690114e-16,7.328148248318456792e-01,3.068497240746559732e-03
3.605551275463988237e+00,0.000000000000000000e+00,7.301574809309503422e-01,4.056762590498587092e-04
3.605551275463988237e+00,1.338979347743690114e-16,7.435333846598247698e-01,1.803618519397799397e-03
3.605551275463988237e+00,2.677958695487380229e-16,7.291116818579247427e-01,5.403128450071024167e-04
3.605551275463988237e+00,4.016938043231070343e-16,7.310575797525284969e-01,1.044918233530311991e-03
3.605551275463989569e+00,1.338979347743690114e-16,7.584665126240750510e-01,1.267450579459964430e-03
3.605551275463990457e+00,1.338979347743690114e-16,7.772875776396066527e-01,5.940735121908095537e-03
3.605551275463992233e+00,1.338979347743690114e-16,7.226527295350083646e-01,1.436057975853421206e-03
3.999999999999995559e+00,1.338979347743690114e-16,7.320654739030563185e-01,1.867442901188551057e-03
3.999999999999999556e+00,1.338979347743690114e-16,7.280679257688187356e-01,8.351856129323901798e-04
3.999999999999999556e+00,0.000000000000000000e+00,6.872979249877878560e-01,2.080842473347368528e-03
4.000000000000000000e+00,0.000000000000000000e+00,7.180156658534102565e-01,7.928126996680362340e-04
4.000000000000000888e+00,0.000000000000000000e+00,7.587261097095528983e-01,1.543655024328332648e-03
