r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,9.708151063744189235e-01
1.500000000000000000e+00,9.530849271470723805e-01
2.500000000000000000e+00,9.446522167564381789e-01
3.500000000000000000e+00,9.384838699233978287e-01
4.500000000000000000e+00,9.337758579864741115e-01
5.500000000000000000e+00,9.301631672904140391e-01
6.500000000000000000e+00,9.272173684975050234e-01
7.500000000000000000e+00,9.244400748245374944e-01
8.500000000000000000e+00,9.217459229618151229e-01
9.500000000000000000e+00,9.190418809272873357e-01
1.050000000000000000e+01,9.165351963000101243e-01
1.150000000000000000e+01,9.140489441940894411e-01
1.250000000000000000e+01,9.117442362245147258e-01
1.350000000000000000e+01,9.093604269558398512e-01
1.450000000000000000e+01,9.073196305455525357e-01
1.550000000000000000e+01,9.050906220853217610e-01
1.650000000000000000e+01,9.027630002100205386e-01
1.750000000000000000e+01,9.007326341336743258e-01
1.850000000000000000e+01,8.987839685023122360e-01
1.950000000000000000e+01,8.968801156479816461e-01
2.050000000000000000e+01,8.951744934316661073e-01
2.150000000000000000e+01,8.937839230357564890e-01
2.250000000000000000e+01,8.918408785763596303e-01
2.350000000000000000e+01,8.905051204857025171e-01
2.450000000000000000e+01,8.887629218668969822e-01
2.550000000000000000e+01,8.873313140117378151e-01
2.650000000000000000e+01,8.853612074171970381e-01
2.750000000000000000e+01,8.844939188373363015e-01
2.850000000000000000e+01,8.822855279853782928e-01
2.950000000000000000e+01,8.801868999983583075e-01
3.050000000000000000e+01,8.789795487920476491e-01
3.150000000000000000e+01,8.774380352691310003e-01
3.250000000000000000e+01,8.762089580638321440e-01
3.350000000000000000e+01,8.745694356685053128e-01
3.450000000000000000e+01,8.739691499484741888e-01
3.550000000000000000e+01,8.717332736260565706e-01
3.650000000000000000e+01,8.709378095011004461e-01
3.750000000000000000e+01,8.708031582824983241e-01
3.850000000000000000e+01,8.693777777811011465e-01
3.950000000000000000e+01,8.683291340188151741e-01
4.050000000000000000e+01,8.679863599057064949e-01
4.150000000000000000e+01,8.666431561936550620e-01
4.250000000000000000e+01,8.652860350936919520e-01
4.350000000000000000e+01,8.645181147399146893e-01
4.450000000000000000e+01,8.640415584664463688e-01
4.550000000000000000e+01,8.635779433208322642e-01
4.650000000000000000e+01,8.632076007641198423e-01
4.750000000000000000e+01,8.627746213948500609e-01
4.850000000000000000e+01,8.613723237290838997e-01
4.950000000000000000e+01,8.613966536779146255e-01
5.050000000000000000e+01,8.619164487159151067e-01
5.150000000000000000e+01,8.609905032691274052e-01
5.250000000000000000e+01,8.609865973275667717e-01
5.350000000000000000e+01,8.610160566108391311e-01
5.450000000000000000e+01,8.605512954697303041e-01
5.550000000000000000e+01,8.611334203282027255e-01
5.650000000000000000e+01,8.643653969691300620e-01
5.750000000000000000e+01,8.652076034608313648e-01
5.850000000000000000e+01,8.664557337877255572e-01
5.950000000000000000e+01,8.671277873483482779e-01
6.050000000000000000e+01,8.683855552457955262e-01
6.150000000000000000e+01,8.688737327505351438e-01
6.250000000000000000e+01,8.696060032719511446e-01
6.350000000000000000e+01,8.705980279194146521e-01
