step,energy_per_site
0.000000000000000000e+00,1.123206364037396376e+00
5.000000000000000000e+05,4.026339307004126455e-01
1.000000000000000000e+06,3.303347358789558985e-01
1.500000000000000000e+06,3.082863328526819213e-01
2.000000000000000000e+06,2.998456895838684244e-01
2.500000000000000000e+06,2.956784278381606179e-01
3.000000000000000000e+06,2.978301036135187485e-01
3.500000000000000000e+06,2.920943703165670424e-01
4.000000000000000000e+06,2.937705711988120028e-01
4.500000000000000000e+06,2.969667811866509299e-01
5.000000000000000000e+06,2.911391844758797198e-01
