x,y,theta
0.000000000000000000e+00,0.000000000000000000e+00,1.751133084966373099e-01
1.000000000000000000e+00,0.000000000000000000e+00,2.420853872902654080e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.083673093138901367e-01
3.000000000000000000e+00,0.000000000000000000e+00,2.527514699168854628e-01
4.000000000000000000e+00,0.000000000000000000e+00,2.194749733833748495e-01
5.000000000000000000e+00,0.000000000000000000e+00,2.650862998092785583e-01
6.000000000000000000e+00,0.000000000000000000e+00,2.895469530199407115e-01
7.000000000000000000e+00,0.000000000000000000e+00,2.584633385684667051e-01
8.000000000000000000e+00,0.000000000000000000e+00,2.226701511558568658e-01
9.000000000000000000e+00,0.000000000000000000e+00,1.977407130514809985e-01
1.000000000000000000e+01,0.000000000000000000e+00,1.633962569004575593e-01
1.100000000000000000e+01,0.000000000000000000e+00,2.216490219936136929e-01
1.200000000000000000e+01,0.000000000000000000e+00,1.793375640611728494e-01
1.300000000000000000e+01,0.000000000000000000e+00,1.520627127949275570e-01
1.400000000000000000e+01,0.000000000000000000e+00,1.537967620911381283e-01
1.500000000000000000e+01,0.000000000000000000e+00,1.693101825411168493e-01
1.600000000000000000e+01,0.000000000000000000e+00,2.105093047672369488e-01
1.700000000000000000e+01,0.000000000000000000e+00,2.111214057719615900e-01
1.800000000000000000e+01,0.000000000000000000e+00,2.326307624929494500e-01
1.900000000000000000e+01,0.000000000000000000e+00,1.863306513827728272e-01
2.000000000000000000e+01,0.000000000000000000e+00,1.742641324911956557e-01
2.100000000000000000e+01,0.000000000000000000e+00,1.828403165966708821e-01
2.200000000000000000e+01,0.000000000000000000e+00,2.669383106983719278e-01
2.300000000000000000e+01,0.000000000000000000e+00,2.713300114126572238e-01
2.400000000000000000e+01,0.000000000000000000e+00,1.918992394452244676e-01
2.500000000000000000e+01,0.000000000000000000e+00,1.309593226879343097e-01
2.600000000000000000e+01,0.000000000000000000e+00,1.096300764831885655e-01
2.700000000000000000e+01,0.000000000000000000e+00,1.572386044926282755e-01
2.800000000000000000e+01,0.000000000000000000e+00,1.297536842354763964e-01
2.900000000000000000e+01,0.000000000000000000e+00,9.067858318171673204e-02
3.000000000000000000e+01,0.000000000000000000e+00,1.696735756522762539e-01
3.100000000000000000e+01,0.000000000000000000e+00,1.162595146246659938e-01
3.200000000000000000e+01,0.000000000000000000e+00,9.066919314712340583e-02
3.300000000000000000e+01,0.000000000000000000e+00,1.136184362199234021e-01
3.400000000000000000e+01,0.000000000000000000e+00,8.077191373428405097e-02
3.500000000000000000e+01,0.000000000000000000e+00,1.850256827814845684e-01
3.600000000000000000e+01,0.000000000000000000e+00,1.355718039309737888e-01
3.700000000000000000e+01,0.000000000000000000e+00,1.148946208629652022e-01
3.800000000000000000e+01,0.000000000000000000e+00,1.213920699139587889e-01
