step,energy_per_site
0.000000000000000000e+00,5.264932701163194118e-01
5.000000000000000000e+05,8.704993360948028169e-02
1.000000000000000000e+06,7.792278858470885750e-02
1.500000000000000000e+06,7.428187145571973904e-02
2.000000000000000000e+06,7.928246487980838975e-02
2.500000000000000000e+06,7.494088649940341962e-02
3.000000000000000000e+06,7.593909976515994531e-02
3.500000000000000000e+06,7.870710285568061071e-02
4.000000000000000000e+06,7.573615070216105361e-02
4.500000000000000000e+06,7.812058828715752468e-02
5.000000000000000000e+06,7.765430490974437050e-02
