r,G
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,9.995874978075509620e-01
1.500000000000000000e+00,9.990710986476081246e-01
2.500000000000000000e+00,9.984043212897337760e-01
3.500000000000000000e+00,9.971462052918436125e-01
4.500000000000000000e+00,9.958438842090384657e-01
5.500000000000000000e+00,9.942735776530319258e-01
6.500000000000000000e+00,9.924183447517804790e-01
7.500000000000000000e+00,9.906566405564156685e-01
8.500000000000000000e+00,9.886457607330434438e-01
9.500000000000000000e+00,9.862342604599294571e-01
1.050000000000000000e+01,9.833936785672630077e-01
1.150000000000000000e+01,9.812564708741579045e-01
1.250000000000000000e+01,9.791040947210244427e-01
1.350000000000000000e+01,9.762278465000130412e-01
1.450000000000000000e+01,9.741429011042739283e-01
1.550000000000000000e+01,9.721239457995161093e-01
1.650000000000000000e+01,9.678832376753357947e-01
1.750000000000000000e+01,9.665891453318632420e-01
1.850000000000000000e+01,9.641147988786837875e-01
1.950000000000000000e+01,9.619011314954225567e-01
2.050000000000000000e+01,9.597414925865592750e-01
2.150000000000000000e+01,9.582349478944883758e-01
2.250000000000000000e+01,9.551984396326566040e-01
2.350000000000000000e+01,9.538443386352628561e-01
2.450000000000000000e+01,9.516254423196691681e-01
2.550000000000000000e+01,9.503610887762480308e-01
2.650000000000000000e+01,9.478211677646829481e-01
2.750000000000000000e+01,9.481975644310053353e-01
2.850000000000000000e+01,9.454882326766724798e-01
2.950000000000000000e+01,9.431934008152886850e-01
3.050000000000000000e+01,9.424067089963155119e-01
3.150000000000000000e+01,9.417285177884067160e-01
3.250000000000000000e+01,9.402455638955390382e-01
3.350000000000000000e+01,9.391773257710184231e-01
3.450000000000000000e+01,9.383738422387252198e-01
3.550000000000000000e+01,9.363449203773629437e-01
3.650000000000000000e+01,9.350996325874946224e-01
3.750000000000000000e+01,9.357472429869133634e-01
3.850000000000000000e+01,9.339702641353988533e-01
3.950000000000000000e+01,9.331278886034094500e-01
4.050000000000000000e+01,9.330358617376947050e-01
4.150000000000000000e+01,9.313746076039236543e-01
4.250000000000000000e+01,9.310503865631581943e-01
4.350000000000000000e+01,9.295536954899219495e-01
4.450000000000000000e+01,9.296086793408409044e-01
4.550000000000000000e+01,9.284491844986949571e-01
4.650000000000000000e+01,9.287132773417167142e-01
4.750000000000000000e+01,9.272526361944458673e-01
4.850000000000000000e+01,9.266825755971246359e-01
4.950000000000000000e+01,9.252250379779520806e-01
5.050000000000000000e+01,9.262756512085004168e-01
5.150000000000000000e+01,9.241792949716495231e-01
5.250000000000000000e+01,9.252114520745469139e-01
5.350000000000000000e+01,9.234457024572069184e-01
5.450000000000000000e+01,9.236796199537888885e-01
5.550000000000000000e+01,9.226461963134855448e-01
5.650000000000000000e+01,9.243945585295242351e-01
5.750000000000000000e+01,9.240638706325026153e-01
5.850000000000000000e+01,9.251171787310965566e-01
5.950000000000000000e+01,9.248853265041041549e-01
6.050000000000000000e+01,9.252671527028494269e-01
6.150000000000000000e+01,9.257785910114690875e-01
6.250000000000000000e+01,9.255834015866757358e-01
6.350000000000000000e+01,9.259736174283065280e-01
