step,energy_per_site
0.000000000000000000e+00,1.122656612162173495e+00
5.000000000000000000e+05,2.592245039953131602e-01
1.000000000000000000e+06,1.698546288418508188e-01
1.500000000000000000e+06,1.387162243313637966e-01
2.000000000000000000e+06,1.181200016278184106e-01
2.500000000000000000e+06,9.738946721997313039e-02
3.000000000000000000e+06,7.718025735072830962e-02
3.500000000000000000e+06,6.607427609781076072e-02
4.000000000000000000e+06,5.840119516193763294e-02
4.500000000000000000e+06,5.361850419527884604e-02
5.000000000000000000e+06,4.876093194675801962e-02
