T,chi,chi_err
1.00000000e-05,5.18483730e-06,2.31988997e-07
1.00000000e-02,7.33663466e-05,3.28268452e-06
5.00000000e-02,2.31665317e-01,1.03655720e-02
1.00000000e-01,1.76358986e+00,7.89096008e-02
1.50000000e-01,9.31939641e+00,4.16984622e-01
1.60000000e-01,2.61190284e+01,1.16866294e+00
1.70000000e-01,2.48742176e+01,1.11296545e+00
1.80000000e-01,2.78338064e+01,1.24538852e+00
1.85000000e-01,3.09255386e+01,1.38372417e+00
1.90000000e-01,2.55659640e+01,1.14391677e+00
1.95000000e-01,9.41358001e+01,4.21198748e+00
2.00000000e-01,9.51878292e+01,4.25905920e+00
2.05000000e-01,7.17744074e+01,3.21145521e+00
2.10000000e-01,6.51923371e+01,2.91694879e+00
2.15000000e-01,5.57638665e+01,2.49508378e+00
2.20000000e-01,3.66712892e+01,1.64081052e+00
2.50000000e-01,1.10354285e+01,4.93766311e-01
3.00000000e-01,4.21450530e+00,1.88572717e-01
