T,eta,eta_err,xi,xi_err
1.00000000e-05,2.18758106e+00,2.79392044e-01,2.01516475e+00,1.47524627e-01
1.00000000e-02,5.21771031e-05,1.08526125e-06,1.21782013e+05,8.27587165e+03
5.00000000e-02,3.81962187e-03,1.56584106e-04,1.61343088e+03,7.40740422e+01
1.00000000e-01,2.58559647e-02,9.38226961e-04,2.40043567e+02,1.22553788e+01
1.50000000e-01,1.19424704e-01,7.83762507e-03,5.00013804e+01,1.47242750e+00
1.60000000e-01,1.23374949e-01,6.01490239e-03,4.94743975e+01,2.00272540e+00
1.70000000e-01,1.71884686e-01,8.18655952e-03,3.55207712e+01,1.40416573e+00
1.80000000e-01,2.16659119e-01,8.48959507e-03,2.86166873e+01,1.48725589e+00
1.85000000e-01,2.98378868e-01,1.59964548e-02,2.03414640e+01,7.72996953e-01
1.90000000e-01,3.79022917e-01,2.30827548e-02,1.58155544e+01,4.35741544e-01
1.95000000e-01,4.39870087e-01,2.53286149e-02,1.36914937e+01,4.19606965e-01
2.00000000e-01,5.83598037e-01,3.26721545e-02,1.03382092e+01,3.23671665e-01
2.05000000e-01,5.01788930e-01,1.81407323e-02,1.23755983e+01,6.38700460e-01
2.10000000e-01,1.24634175e+00,1.58517552e-01,4.44369150e+00,2.07358859e-01
2.15000000e-01,8.87315261e-01,4.51490752e-02,6.88315526e+00,3.01636767e-01
2.20000000e-01,2.14250242e+00,2.21664084e-01,2.65207882e+00,7.01565535e-02
2.50000000e-01,2.11519129e+00,2.73430926e-01,1.77643115e+00,5.73468835e-02
3.00000000e-01,2.02383562e+00,5.34475026e-01,3.64708861e+00,1.37406368e+00
